label,pair,treatment,sp.cd,leaf.a,dry.m,leaftk.1,leaftk.2,leaftk.3
bi05,3,b,BRINI,39.162,0.3,0.26,0.25,0.29
bi05,3,b,BRINI,,,0.22,0.28,0.2
bi05,3,b,BRINI,,,0.19,0.25,0.17
bi07,4,b,BRINI,51.038,0.43,0.21,0.21,0.2
bi07,4,b,BRINI,,,0.19,0.22,0.2
bi07,4,b,BRINI,,,0.17,0.19,0.18
bi09,5,b,BRINI,48.98,0.46,0.26,0.22,0.24
bi09,5,b,BRINI,,,0.24,0.25,0.24
bi09,5,b,BRINI,,,0.23,0.36,0.3
bi11,6,b,BRINI,50.114,0.45,0.19,0.28,0.17
bi11,6,b,BRINI,,,0.25,0.23,0.2
bi11,6,b,BRINI,,,0.24,0.33,0.31
bi13,7,b,BRINI,40.29,0.36,0.25,0.21,0.22
bi13,7,b,BRINI,,,0.27,0.19,0.2
bi13,7,b,BRINI,,,0.28,0.21,0.22
bi15,8,b,BRINI,36.552,0.23,0.17,0.18,0.17
bi15,8,b,BRINI,,,0.2,0.2,0.19
bi15,8,b,BRINI,,,0.22,0.21,0.2
bi17,9,b,BRINI,49.114,0.4,0.19,0.19,0.14
bi17,9,b,BRINI,,,0.2,0.26,0.19
bi17,9,b,BRINI,,,0.19,0.36,0.22
bi19,10,b,BRINI,41.515,0.33,0.21,0.17,0.19
bi19,10,b,BRINI,,,0.22,0.19,0.21
bi19,10,b,BRINI,,,0.2,0.16,0.15
bi21,11,b,BRINI,53.634,0.45,0.41,0.25,0.21
bi21,11,b,BRINI,,,0.26,0.21,0.24
bi21,11,b,BRINI,,,0.17,0.26,0.4
bi23,12,b,BRINI,40.287,0.38,0.24,0.25,0.24
bi23,12,b,BRINI,,,0.22,0.23,0.23
bi23,12,b,BRINI,,,0.22,0.15,0.25
bi25,13,b,BRINI,44.704,0.34,0.13,0.19,0.19
bi25,13,b,BRINI,,,0.18,0.21,0.16
bi25,13,b,BRINI,,,0.3,0.28,0.21
bi27,14,b,BRINI,26.173,0.23,0.16,0.19,0.19
bi27,14,b,BRINI,,,0.13,0.2,0.21
bi27,14,b,BRINI,,,0.15,0.17,0.14
bi29,15,b,BRINI,50.821,0.49,0.24,0.22,0.21
bi29,15,b,BRINI,,,0.26,0.24,0.26
bi29,15,b,BRINI,,,0.21,0.22,0.2
bi33,16,b,BRINI,49.4,0.47,0.23,0.18,0.16
bi33,16,b,BRINI,,,0.2,0.25,0.27
bi33,16,b,BRINI,,,0.22,0.36,0.2
cs01,1,b,CHLA5,90.28,0.38,0.09,0.12,0.1
cs01,1,b,CHLA5,,,0.11,0.1,0.09
cs01,1,b,CHLA5,,,0.1,0.09,0.11
cs01r,1r,b,CHLA5,82.988,0.36,0.07,0.08,0.1
cs01r,1r,b,CHLA5,,,0.08,0.08,0.08
cs01r,1r,b,CHLA5,,,0.09,0.1,0.08
cs03,2,b,CHLA5,99.086,0.33,0.11,0.12,0.11
cs03,2,b,CHLA5,,,0.09,0.09,0.1
cs03,2,b,CHLA5,,,0.09,0.08,0.09
cs05,3,b,CHLA5,109.769,0.45,0.08,0.09,0.09
cs05,3,b,CHLA5,,,0.09,0.08,0.08
cs05,3,b,CHLA5,,,0.1,0.08,0.07
cs07,4,b,CHLA5,86.607,0.28,0.07,0.06,0.09
cs07,4,b,CHLA5,,,0.08,0.07,0.08
cs07,4,b,CHLA5,,,0.1,0.08,0.1
cs09,5,b,CHLA5,126.314,0.56,0.13,0.12,0.11
cs09,5,b,CHLA5,,,0.1,0.1,0.1
cs09,5,b,CHLA5,,,0.1,0.08,0.08
cs09r,5r,b,CHLA5,121.387,0.5,0.1,0.09,0.08
cs09r,5r,b,CHLA5,,,0.08,0.08,0.08
cs09r,5r,b,CHLA5,,,0.07,0.07,0.1
cs11,6,b,CHLA5,108.534,0.39,0.08,0.06,0.11
cs11,6,b,CHLA5,,,0.09,0.08,0.09
cs11,6,b,CHLA5,,,0.11,0.09,0.07
cs13,7,b,CHLA5,95.851,0.37,0.07,0.1,0.1
cs13,7,b,CHLA5,,,0.08,0.08,0.09
cs13,7,b,CHLA5,,,0.1,0.07,0.09
cs13r,7r,b,CHLA5,63.823,0.25,0.09,0.08,0.08
cs13r,7r,b,CHLA5,,,0.08,0.07,0.09
cs13r,7r,b,CHLA5,,,0.07,0.06,0.07
cs15,8,b,CHLA5,113.702,0.48,0.12,0.08,0.08
cs15,8,b,CHLA5,,,0.11,0.09,0.08
cs15,8,b,CHLA5,,,0.11,0.1,0.11
cs15r,8r,b,CHLA5,94.608,0.48,0.09,0.09,0.06
cs15r,8r,b,CHLA5,,,0.11,0.09,0.09
cs15r,8r,b,CHLA5,,,0.11,0.1,0.1
cs17,9,b,CHLA5,95.487,0.31,0.09,0.06,0.1
cs17,9,b,CHLA5,,,0.07,0.08,0.08
cs17,9,b,CHLA5,,,0.06,0.09,0.07
cs17r,9r,b,CHLA5,76.655,0.27,0.08,0.07,0.09
cs17r,9r,b,CHLA5,,,0.07,0.06,0.07
cs17r,9r,b,CHLA5,,,0.06,0.07,0.06
cs19,10,b,CHLA5,106.017,0.39,0.07,0.09,0.1
cs19,10,b,CHLA5,,,0.09,0.08,0.08
cs19,10,b,CHLA5,,,0.09,0.07,0.07
cs19r,10r,b,CHLA5,63.74,0.2,0.09,0.06,0.05
cs19r,10r,b,CHLA5,,,0.07,0.06,0.07
cs19r,10r,b,CHLA5,,,0.06,0.06,0.08
cs23,11,b,CHLA5,89.622,0.29,0.09,0.08,0.09
cs23,11,b,CHLA5,,,0.08,0.07,0.08
cs23,11,b,CHLA5,,,0.07,0.06,0.06
cs25,12,b,CHLA5,87.747,0.3,0.1,0.08,0.12
cs25,12,b,CHLA5,,,0.07,0.07,0.08
cs25,12,b,CHLA5,,,0.07,0.09,0.08
cs27,13,b,CHLA5,113.436,0.33,0.1,0.1,0.11
cs27,13,b,CHLA5,,,0.1,0.08,0.11
cs27,13,b,CHLA5,,,0.09,0.07,0.09
cs29,14,b,CHLA5,87.4,0.33,0.11,0.09,0.09
cs29,14,b,CHLA5,,,0.09,0.08,0.08
cs29,14,b,CHLA5,,,0.09,0.08,0.07
cs31,15,b,CHLA5,70.221,0.22,0.09,0.09,0.1
cs31,15,b,CHLA5,,,0.1,0.08,0.08
cs31,15,b,CHLA5,,,0.07,0.07,0.07
cs33,16,b,CHLA5,69.634,0.25,0.06,0.08,0.08
cs33,16,b,CHLA5,,,0.08,0.07,0.07
cs33,16,b,CHLA5,,,0.09,0.09,0.07
cs35,17,b,CHLA5,85.334,0.28,0.08,0.07,0.09
cs35,17,b,CHLA5,,,0.07,0.08,0.08
cs35,17,b,CHLA5,,,0.06,0.06,0.07
cs37,18,b,CHLA5,94.988,0.41,0.1,0.08,0.09
cs37,18,b,CHLA5,,,0.09,0.08,0.07
cs37,18,b,CHLA5,,,0.07,0.08,0.06
cs39,19,b,CHLA5,76.074,0.31,0.07,0.07,0.07
cs39,19,b,CHLA5,,,0.07,0.07,0.08
cs39,19,b,CHLA5,,,0.1,0.06,0.06
cs41,20,b,CHLA5,84.152,0.46,0.1,0.08,0.07
cs41,20,b,CHLA5,,,0.08,0.1,0.09
cs41,20,b,CHLA5,,,0.08,0.09,0.09
cs43,21,b,CHLA5,94.491,0.45,0.1,0.13,0.09
cs43,21,b,CHLA5,,,0.08,0.1,0.09
cs43,21,b,CHLA5,,,0.07,0.08,0.08
