sp.id,sp.cd,field.f,field.d,tiller.num,height,height.90,drym.10,wda10.1,wda10.2,wda10.3,wdb10.1,wdb10.2,wdb10.3,dry.m,wda.1,wda.2,wda.3,wdb.1,wdb.2,wdb.3,trial.date,trial.num,temp,humidity,wind.v,start.t,initial.mass,ignition,combustion,smoldering,max.fh,end.t,end.mass,fuel.residual
ec28,ELLO3,,,36,33,23,10.49,9.5,10,9,6,7.5,7,9.88,9,10.7,22,6,7.3,15,,,,,,,,,,,,,,
ec29,ELLO3,13.93,5.3,94,41,33,,11,10,11.5,11.5,10,10.5,,9,9,14.5,9.5,10.5,19.5,6/15/16,1,83.9,59.1,0,10:29,1889.6,3.3,85.14,1174.19,130,10:59,1857.2,11.8
ec30,ELLO3,,,105,37,29,15.65,11.5,12.5,11.5,7.5,7,6.5,25.46,12,13,25,8,9,20.5,,,,,,,,,,,,,,
sn09,STNE2,19.11,8.33,56,50,34,,12,13,12,9.5,11.5,13,,11.5,22.5,30,13,8,30,6/15/16,11,92.8,35,0,14:31,1937.4,3.05,54.1,124.27,130,14:39,1864,4.4
sn10,STNE2,,,29,37,28,22.57,11.5,10,10,8.5,9,9,33.86,13,10,22,9.5,8,23,,,,,,,,,,,,,,
sn11,STNE2,21.74,11.17,50,52,32,,18,19,25,16,16,16.5,,16,18,23,20,22,26,6/15/16,10,91.3,37.4,0,14:01,2240.4,1.92,104.38,694.76,150,14:18,2080.8,12.3
sn12,STNE2,,,64,36,27,55.27,18.5,22.5,25,8.5,8,10,51.31,28,29.5,36,10,13,30,,,,,,,,,,,,,,
sn13,STNE2,20.11,9.21,53,44,32,,12,13.5,18.5,15,17.5,18,,24,36,37,21,26,27,6/15/16,8,90,40.7,0,13:22,2212.3,2.33,71.67,202.33,155,13:32,2096.8,9.7
sn14,STNE2,,,72,49,35,32.27,15,26,28,9.5,12,15.5,56.5,29,25.5,33,21,21,25,,,,,,,,,,,,,,
sn15,STNE2,25.37,12.32,50,43,32,,14,11,10,11,15,14.5,,15,32,26,9.5,8,25,6/15/16,2,85.6,55.5,0,11:23,2540.9,3.78,70.57,216.16,145,11:34,2453,6.5
sn16,STNE2,,,62,50,42,40.02,13.5,18,21.5,7,11,10.5,49,22,19.5,22,11.2,10.5,19.5,,,,,,,,,,,,,,
sn17,STNE2,19.66,8.42,38,46,40,,7,13,15,7.5,11,11.5,,16,20.5,28,13,8,30,6/15/16,9,90.6,40.6,0,13:45,1903.2,3.02,60.64,78.42,145,13:50,1845.7,3.7
sn18,STNE2,,,40,41,34,16.03,9,10.5,12,9,9,9.3,22.04,12.5,11,19,9,8.5,18,,,,,,,,,,,,,,
sn19,STNE2,27.36,11.54,21,48,35,,5.5,7.5,11,5,5.5,6.5,,13,19,27,6,6.5,10,6/15/16,7,89.2,45.1,0,13:06,1837.6,2.58,33.23,164.91,115,13:13,1805.1,3.5
sn20,STNE2,,,19,42,34,8.64,6,7,5.5,5.5,6,7,11.28,7,17.5,16,8,13,11,,,,,,,,,,,,,,
