label,pair,treatment,sp.cd,trial.date,trial.num,temp,humidity,wind.v,start.t,initial.mass,ignition,combustion,smoldering,max.fh,end.t,end.mass,final.mass,fuel.residual
erc05,3,b,ERCUC4,6/22/16,1,80.7,51.1,0,10:21,1452.1,2.53,64.83,1824.93,160,10:58,,1102.5,17.9
erc07,4,b,ERCUC4,6/29/16,2,81.5,52.7,0,10:45,2117.7,1.51,45.28,455.75,181,11:04,,1999.4,10.5
erc09,5,b,ERCUC4,6/29/16,27,89.5,36.2,0,17:29,2424.3,3.31,70.55,581.23,175,17:45,,2240.4,10
erc11,6,b,ERCUC4,6/29/16,21,87.8,41.6,0,16:10,1826.5,0.85,35.38,422.05,130,16:22,,1774.5,4.6
erc13,7,b,ERCUC4,6/29/16,3,82.7,51.5,0,11:11,2034.5,2.17,70.72,586.39,145,11:30,,1925.5,14
erc15,8,b,ERCUC4,6/29/16,28,90,34.4,0,17:48,2016.6,1.33,116.09,820.5,145,18:15,,1848.9,11.4
erc17,9,b,ERCUC4,6/29/16,6,84.6,46.6,0,12:51,1900,2.18,40.13,100.95,135,13:06,,1850.9,3.9
erc19,10,b,ERCUC4,6/29/16,26,89,37.6,0,17:15,1957.8,1.92,51.6,323.64,150,17:26,,1898.2,4.3
erc21,11,b,ERCUC4,6/29/16,4,82.9,49.8,0,11:36,2034,2.38,74.33,2396.19,135,12:30,,1822.7,20.6
erc23,12,b,ERCUC4,6/29/16,5,83.8,47.9,0,12:33,1886.2,2.78,51.08,415,181,12:48,,1729,15.6
sn02,1,b,STNE2,6/8/16,1,78.1,47.3,0,11:10,1920.8,2.4,55.99,619.12,140,11:48,,1825.7,10.5
sn03,2,b,STNE2,6/8/16,10,85,36.6,0,14:38,2033,1.83,93.55,1133.92,143,15:05,,1892,7.7
sn05,3,b,STNE2,6/8/16,8,83.2,38.7,0,13:45,1832.6,2.72,53.01,446.95,110,14:10,,1784.2,3.8
sn09,4,b,STNE2,6/15/16,11,92.8,35,0,14:31,1937.4,3.05,54.1,124.27,130,14:45,,1864,4.4
sn11,5,b,STNE2,6/15/16,10,91.3,37.4,0,14:01,2240.4,1.92,104.38,694.76,150,14:26,,2080.8,12.3
sn13,6,b,STNE2,6/15/16,8,90,40.7,0,13:22,2212.3,2.33,71.67,202.33,155,13:40,,2096.8,9.7
sn15,7,b,STNE2,6/15/16,2,85.6,55.5,0,11:23,2540.9,3.78,70.57,216.16,145,11:43,,2453,6.5
sn17,8,b,STNE2,6/15/16,9,90.6,40.6,0,13:45,1903.2,3.02,60.64,78.42,145,13:51,,1845.7,3.7
sn19,9,b,STNE2,6/15/16,7,89.2,45.1,0,13:06,1837.6,2.58,33.23,164.91,115,13:18,,1805.1,3.5
sn21,10,b,STNE2,6/22/16,3,83.4,47.1,0,11:24,1671.6,2.62,63.43,54.9,96,11:34,,1647.5,3
sn23,11,b,STNE2,6/22/16,5,84.2,45.8,0,11:54,1609.3,3.27,43.92,56.55,145,12:06,,1568.7,2.8
sn25,12,b,STNE2,6/22/16,8,86.2,43.1,0,12:43,1642.7,3.47,41.25,184.04,110,12:53,,1604.5,1.9
sn27,13,b,STNE2,6/22/16,6,85,44.1,0,12:09,1645,8.06,55.67,156.49,115,12:22,,1582.8,5.4
sn29,14,b,STNE2,6/22/16,10,86.8,41.9,0,13:24,1691,2.48,72.1,631.81,145,13:45,,1605,4.6
sn31,15,b,STNE2,6/22/16,7,86.2,43.1,0,12:28,1811.3,3.38,63.55,130.69,120,12:40,,1762.4,4.8
erc27,14,b,ERCUC4,7/20/16,1,84.2,53.7,0,10:29,2173.2,N/A,76.14,718.11,180,10:56,2025.6,2005.6,19.6
erc29,15,b,ERCUC4,7/20/16,2,85.3,52,0,11:01,1780.4,1.86,45.05,477.13,140,11:19,1724.2,1719,4.9
erc25,13,b,ERCUC4,7/20/16,3,85.8,50.8,0,11:01,1780.4,2.82,36.85,259.03,113,11:39,1839.6,1827.7,11.8
al05,3,b,ARPUL,7/20/16,4,86.1,49,0,11:45,1832.6,2.51,104.95,823.91,110,12:08,1761.7,1752.7,8.2
as33,15,b,AGSM,7/20/16,5,87,46.5,0,12:12,1779.3,3,65.22,38.56,88,12:25,1764.8,1756,8.9
al01,1,b,ARPUL,7/20/16,6,88,45.5,0,12:31,1990.2,1.93,73.43,806.75,112,12:55,1921.6,1910.6,10.6
al07,4,b,ARPUL,7/20/16,7,88.4,43.7,0,12:59,1659.7,3.55,48.83,296.18,110,13:13,1628.9,1624.6,4.1
al03,2,b,ARPUL,7/20/16,8,89.4,42.1,0,13:17,1807.6,2.4,59.43,535.87,112,13:34,1750.7,1734.4,15.8
al09,5,b,ARPUL,7/20/16,9,90.1,41.2,0,13:39,1918.1,2.76,63.98,504.88,100,13:55,1876.5,1870.4,5
al11,6,b,ARPUL,7/20/16,10,90.2,40.1,0,13:58,1792.1,2.78,60.41,269.35,105,14:11,1760.1,1754,6.1
al13,7,b,ARPUL,7/20/16,11,90.9,38.4,0,14:14,1850.8,2.32,39.65,216.56,81,14:25,1830.3,1826.1,4
al15,8,b,ARPUL,7/20/16,12,91.1,38.9,0,14:29,1888.5,2.05,92.39,758.43,96,14:50,1841.7,1834.3,7.1
bi33,16,b,BRINI,7/20/16,13,91.7,38.1,0,14:54,1802.5,3.66,45.42,65.34,90,15:03,1785.7,1776.5,9.2
