label,pair,treatment,sp.cd,field.f,field.d,burn.f,burn.d,tiller.num,height,height.90,drym.10,wda10.1,wda10.2,wda10.3,wdb10.1,wdb10.2,wdb10.3,dry.m,wda.1,wda.2,wda.3,wdb.1,wdb.2,wdb.3
erc13,7,b,ERCUC4,12.55,6.71,4.93,4.76,41,53,45,,14.5,12.5,19.5,17,17.5,13,,14.5,9,27,19,6.5,30
erc14,7,u,ERCUC4,,,,,51,110,83,35.86,17.5,20,11,12,11.5,22,79.2,12,10,29,9,9.5,24
erc15,8,b,ERCUC4,9.25,4.18,,,77,76,63,,19,22,23.5,10,10,10,,22.5,18.5,45,10.5,11,15
erc16,8,u,ERCUC4,,,,,62,109,84,30.81,16,15,13,12,10.5,9.5,62.25,13.5,24,46,10.5,10,39
erc17,9,b,ERCUC4,6.51,3.11,,,19,72,47,,19,19,23.5,13.5,14,15.5,,22,8,36,11.5,3.5,23
erc18,9,u,ERCUC4,,,,,31,51,43,28.51,18,21.5,22,10.5,11,12,34.27,22,11.5,30,10.5,9,15
erc19,10,b,ERCUC4,9.48,4.54,,,36,78,57,,14,14.5,12.5,8,10,12,,12,5.5,37,10,8,23.5
erc20,10,u,ERCUC4,,,,,53,75,60,30.25,19,19,18.5,13,12,11.5,59.97,13,7.5,51,6,7,31
erc21,11,b,ERCUC4,13.98,6.81,,,51,77,40,,20,19,19.5,13,13.5,13,,19,19,35,8,10,28
erc22,11,u,ERCUC4,,,,,42,71,63,46.51,23.5,22,23,14,13,12,53.42,19,12,52,9,9.5,37
erc23,12,b,ERCUC4,13.94,5.58,,,87,78,60,,19.5,18.5,17,15.5,18.5,18,,11,25,45,10,19,45
erc24,12,u,ERCUC4,,,,,88,108,77,26.83,16,21,20,10,11,10,72.95,21.5,16,45,12,8,23
erc25,13,b,ERCUC4,11.17,6.47,,,84,84,59,,16.5,17,14.5,8.3,6,6,,11.5,10.5,73,4.5,5,38
erc26,13,u,ERCUC4,,,,,68,81,61,16.16,14,15,15.8,9.5,9,8,16.91,13,7.5,33,5.5,4,16.5
erc27,14,b,ERCUC4,14.57,7.25,3.67,3.51,204,93,58,,19,21,21,16,18.3,18.5,,15,15,42,14.5,9.5,45
erc28,14,u,ERCUC4,,,,,186,87,50,50.7,17.5,19.5,21,15.5,15.2,15.5,52.7,17.5,10.5,83,12.5,7,90
erc29,14,b,ERCUC4,24.92,12.49,,,105,89,47,,15,15,14,14,13.5,13.7,,8,5.5,44,10,7,33.5
erc30,15,u,ERCUC4,,,,,127,100,65,35.84,17.5,16.5,17,11,11,10,43.16,18,17,45,8.4,10,49
sn01,1,u,STNE2,,,,,119,31,28,26.45,10,10,10.5,7.5,8.5,9,17.54,11,8.5,11,8,6.5,9
sn02,1,b,STNE2,20.2,10.7,2.09,1.96,142,48,31,,15,18,18,7.5,8,7,,16,14,17,5,3,10
sn03,2,b,STNE2,30.43,15.28,2.79,2.47,130,50,36,,16,16,15.5,9.5,7.5,6,,15,13.5,13,5,5,6
sn04,2,u,STNE2,,,,,188,48,33,36.84,13.5,11.5,17,9.5,14,15,28.11,17,31,35,15,20,23
sn05,3,b,STNE2,17.06,9.46,1.65,1.57,103,41,34,,11,12,13,5,4,3.5,,13.5,9,5,3.5,5,3
sn06,3,u,STNE2,,,,,195,44,30,33.55,11,15,19,12.5,12,14,20.63,17,21,23,14.5,14.5,20
sn09,4,b,STNE2,19.11,8.33,2.63,2.52,56,50,34,,12,13,12,9.5,11.5,13,,11.5,22.5,30,13,8,30
sn10,4,u,STNE2,,,,,29,37,28,22.57,11.5,10,10,8.5,9,9,33.86,13,10,22,9.5,8,23
sn11,5,b,STNE2,21.74,11.17,2.22,2.17,50,52,32,,18,19,25,16,16,16.5,,16,18,23,20,22,26
sn12,5,u,STNE2,,,,,64,36,27,55.27,18.5,22.5,25,8.5,8,10,51.31,28,29.5,36,10,13,30
sn13,6,b,STNE2,20.11,9.21,2.53,2.4,53,44,32,,12,13.5,18.5,15,17.5,18,,24,36,37,21,26,27
sn14,6,u,STNE2,,,,,72,49,35,32.27,15,26,28,9.5,12,15.5,56.5,29,25.5,33,21,21,25
sn15,7,b,STNE2,25.37,12.32,2.57,2.44,50,43,32,,14,11,10,11,15,14.5,,15,32,26,9.5,8,25
sn16,7,u,STNE2,,,,,62,50,42,40.02,13.5,18,21.5,7,11,10.5,49,22,19.5,22,11.2,10.5,19.5
sn17,8,b,STNE2,19.66,8.42,1.73,1.68,38,46,40,,7,13,15,7.5,11,11.5,,16,20.5,28,13,8,30
sn18,8,u,STNE2,,,,,40,41,34,16.03,9,10.5,12,9,9,9.3,22.04,12.5,11,19,9,8.5,18
sn19,9,b,STNE2,27.36,11.54,1.3,1.27,21,48,35,,5.5,7.5,11,5,5.5,6.5,,13,19,27,6,6.5,10
sn20,9,u,STNE2,,,,,19,42,34,8.64,6,7,5.5,5.5,6,7,11.28,7,17.5,16,8,13,11
sn21,10,b,STNE2,12.86,7.79,0.93,0.88,69,56,43,,9,9.5,9,4,2.5,1.5,,8.5,7.5,20,1,1.2,8
sn22,10,u,STNE2,,,,,62,45,40,11.72,5,6,5.5,3.5,4,5,14.99,6,5.5,11,4,3.5,22
sn23,11,b,STNE2,21.57,11.33,,,69,59,51,,6,7.5,7.5,6,5,3.5,,6.5,4.5,17,2.5,3,12
sn24,11,u,STNE2,,,,,100,53,43,10.66,10,9,9,7,8,4.5,15.1,10.5,8,18,7,4,24
sn25,12,b,STNE2,8.77,4.58,,,177,49,38,,12.5,14.5,16,5.5,5.5,6,,15,13,24,4.5,4,22
sn26,12,u,STNE2,,,,,80,55,42,8.43,7.5,9.5,8.5,3.5,3.5,3.7,15.38,10,5.5,20,4,2,8
sn27,13,b,STNE2,11.97,6.49,,,81,40,34,,9.5,13,13,6,6,7,,10,7,22,5,4,8.5
sn28,13,u,STNE2,,,,,130,51,39,26.79,11.5,12,14,7,10,6,22.44,15,11,14.5,5,4,17
sn29,14,b,STNE2,8.59,4.71,,,110,41,36,,12.5,14,14,7,7,8,,17,14,22,5,4.2,10
sn30,14,u,STNE2,,,,,231,55,37,25.6,14,15,12.5,8.5,10,10,23.43,9.5,10.5,30,7.5,9.5,17
sn31,15,b,STNE2,20.46,10.23,,,156,46,35,,13,12,14,6.5,7,6,,12,11,21,5.5,5.5,19
sn32,15,u,STNE2,,,,,102,53,40,8.31,8,8.5,7.5,5.8,5.5,5.5,12.26,10,9,15,6,4.5,24
