label,pair,treatment,sp.cd,field.f,field.d,burn.f,burn.d,tiller.num,height,height.90,drym.10,wda10.1,wda10.2,wda10.3,wdb10.1,wdb10.2,wdb10.3,dry.m,wda.1,wda.2,wda.3,wdb.1,wdb.2,wdb.3
as09,3,b,AGSM,11.71,5.03,,,23,55,48,,5,3.5,5.5,3,3.5,3.5,,6,5,22.5,4.5,5.5,35.5
as10,3,u,AGSM,,,,,28,49,40,8.1,5.3,5.5,6.5,4.5,5,5,21.08,7,10.5,47,5,3,14.5
as11,4,b,AGSM,8.04,4.06,,,49,37,28,,7,6.5,43,4.5,3.8,4,,37,28,8,4,4,9
as12,4,u,AGSM,,,,,43,49,42,5.45,8.5,8,8,5,5,3.5,13.79,7,8,17,2.5,4,25
as13,5,b,AGSM,11.16,6.34,,,42,52,43,,6.5,7,7,4.5,3,2,,8,10,21,1,1,4.5
as14,5,u,AGSM,,,,,46,44,40,9.38,12,11.5,8.5,5,6,4.3,9.3,8.3,7,30,3,3,10.5
as15,6,b,AGSM,12.88,6.69,2.16,2.06,36,46,38,,12.5,14,14.5,4,2,2,,13.5,15.5,36,2.8,6.5,22.5
as16,6,u,AGSM,,,,,25,49,40,7.05,9.5,10,9.5,3.5,1,1.7,7.16,10.5,10.5,35,1.5,1.5,10
as17,7,b,AGSM,14.59,7.26,,,35,41,35,,9.5,8,6.5,8,6.5,5.5,,5.5,5,35,4.5,7,10
as18,7,u,AGSM,,,,,39,51,45,13.26,11,11,9,6.5,7,7.5,17.95,8.5,9,25,5,7,13
as19,8,b,AGSM,8.59,4.56,,,33,62,50,,6,6,7.5,7,5.5,6,,14,19,20,9.5,3,5
as20,8,u,AGSM,,,,,41,81,56,19.61,11.5,7,8.5,7,9.5,6,18.25,6.5,4,12,4.8,2.5,16
as21,9,b,AGSM,9.26,5.09,,,33,70,47,,8,8,8,5,4,3.5,,8,5.5,10,9.5,3.8,6
