SP.ID,type,5cm,10cm,15cm,20cm,25cm,30cm,35cm,40cm,45cm,50cm,55cm,60cm,65cm,70cm,75cm,80cm,85cm,90cm,95cm,100cm,105cm,110cm
MD11,d,2.80 ,1.56 ,1.00 ,0.50 ,0.43 ,0.25 ,0.14 ,0.09 ,0.11 ,,,,,,,,,,,,,
AL43,d,4.80 ,4.14 ,2.22 ,1.27 ,0.74 ,0.87 ,0.68 ,,,,,,,,,,,,,,,
SN05,d,9.71 ,8.06 ,5.58 ,3.01 ,1.74 ,0.51 ,0.08 ,,,,,,,,,,,,,,,
EGC05,d,7.34 ,8.57 ,9.44 ,12.56 ,17.81 ,2.95 ,1.25 ,0.96 ,0.33 ,0.17 ,0.12 ,0.07 ,0.12 ,0.13 ,0.04 ,0.05 ,0.04 ,0.02 ,,,,
EC05,d,5.61 ,5.29 ,3.93 ,4.77 ,3.02 ,3.59 ,2.17 ,1.59 ,1.52 ,2.38 ,1.00 ,1.63 ,0.97 ,0.67 ,0.77 ,0.99 ,0.58 ,0.45 ,1.17 ,0.86 ,0.81 ,0.35 
OH07,d,2.32 ,3.15 ,2.87 ,2.72 ,2.54 ,1.83 ,2.22 ,0.70 ,0.87 ,1.08 ,0.68 ,0.72 ,0.49 ,0.14 ,,,,,,,,
AH11,d,3.34 ,2.65 ,3.00 ,1.66 ,1.19 ,0.77 ,0.57 ,0.47 ,0.23 ,0.27 ,0.14 ,0.11 ,0.06 ,0.07 ,0.08 ,,,,,,,
AS09,d,1.89 ,1.30 ,0.86 ,0.67 ,0.37 ,0.51 ,0.11 ,0.01 ,0.01 ,0.05 ,,,,,,,,,,,,
PC25,d,5.23 ,3.26 ,2.20 ,1.83 ,1.43 ,1.15 ,0.57 ,0.27 ,0.32 ,0.12 ,,,,,,,,,,,,
EGC11,d,11.05 ,5.80 ,6.54 ,5.29 ,4.86 ,0.28 ,0.06 ,,,,,,,,,,,,,,,
MD07,d,4.17 ,2.04 ,1.40 ,0.43 ,0.21 ,0.07 ,0.07 ,0.04 ,,,,,,,,,,,,,,
PC21,d,8.68 ,7.06 ,4.29 ,1.98 ,0.33 ,0.47 ,0.03 ,0.11 ,0.01 ,0.01 ,0.01 ,0.02 ,0.01 ,0.05 ,,,,,,,,
SN15,d,8.85 ,5.85 ,3.57 ,1.74 ,0.67 ,0.14 ,0.13 ,,,,,,,,,,,,,,,
AH05,d,7.35 ,2.46 ,1.88 ,1.48 ,1.33 ,1.09 ,1.00 ,0.64 ,0.40 ,0.19 ,0.17 ,0.13 ,0.05 ,0.06 ,0.01 ,0.02 ,0.02 ,,,,,
AS15,d,1.01 ,0.36 ,0.30 ,0.07 ,0.19 ,,,,,,,,,,,,,,,,,
OH10,d,9.89 ,9.78 ,8.54 ,6.74 ,7.06 ,6.55 ,9.14 ,3.26 ,3.07 ,2.29 ,1.32 ,0.44 ,0.36 ,0.22 ,0.26 ,0.04 ,,,,,,
AH16,d,4.50 ,2.17 ,1.53 ,1.85 ,1.55 ,1.16 ,0.92 ,0.84 ,0.60 ,0.44 ,0.41 ,0.46 ,0.35 ,0.25 ,0.16 ,,,,,,,
EC12,d,5.13 ,4.22 ,4.14 ,3.96 ,3.47 ,3.36 ,3.55 ,3.40 ,2.72 ,2.49 ,1.51 ,2.51 ,3.46 ,4.14 ,1.26 ,0.66 ,0.28 ,,,,,
AG10,d,7.38 ,3.36 ,2.72 ,4.41 ,1.76 ,1.51 ,0.12 ,0.10 ,,,,,,,,,,,,,,
PC30,d,3.80 ,2.78 ,3.51 ,3.48 ,1.31 ,0.44 ,,,,,,,,,,,,,,,,
EGC14,d,5.44 ,6.74 ,2.44 ,1.08 ,,,,,,,,,,,,,,,,,,
AL46,d,19.19 ,10.93 ,6.06 ,6.06 ,3.31 ,3.24 ,1.40 ,1.00 ,0.75 ,0.32 ,0.11 ,,,,,,,,,,,
SN10,d,2.15 ,3.90 ,3.74 ,2.24 ,0.68 ,,,,,,,,,,,,,,,,,
MD18,d,0.33 ,0.20 ,0.14 ,0.06 ,0.11 ,,,,,,,,,,,,,,,,,
AS08,d,1.86 ,0.72 ,0.79 ,,,,,,,,,,,,,,,,,,,
