"Plot Title: 2247367 "
"#","Time, GMT-05:00","K-Type, °C","Started","Host Connected","Stopped","End Of File"
1,10/23/15 12:48:25.936 PM,20.27,Logged,,,
2,10/23/15 12:48:26.936 PM,20.27,,,,
3,10/23/15 12:48:27.936 PM,20.27,,,,
4,10/23/15 12:48:28.936 PM,20.27,,,,
5,10/23/15 12:48:29.936 PM,20.27,,,,
6,10/23/15 12:48:30.936 PM,20.27,,,,
7,10/23/15 12:48:31.936 PM,20.27,,,,
8,10/23/15 12:48:32.936 PM,20.27,,,,
9,10/23/15 12:48:33.936 PM,20.27,,,,
10,10/23/15 12:48:34.936 PM,20.27,,,,
11,10/23/15 12:48:35.936 PM,20.27,,,,
12,10/23/15 12:48:36.936 PM,20.27,,,,
13,10/23/15 12:48:37.936 PM,20.27,,,,
14,10/23/15 12:48:38.936 PM,20.27,,,,
15,10/23/15 12:48:39.936 PM,20.27,,,,
16,10/23/15 12:48:40.936 PM,20.61,,,,
17,10/23/15 12:48:41.936 PM,20.27,,,,
18,10/23/15 12:48:42.936 PM,20.27,,,,
19,10/23/15 12:48:43.936 PM,20.61,,,,
20,10/23/15 12:48:44.936 PM,20.27,,,,
21,10/23/15 12:48:45.936 PM,20.27,,,,
22,10/23/15 12:48:46.936 PM,20.61,,,,
23,10/23/15 12:48:47.936 PM,20.27,,,,
24,10/23/15 12:48:48.936 PM,20.27,,,,
25,10/23/15 12:48:49.936 PM,20.61,,,,
26,10/23/15 12:48:50.936 PM,20.27,,,,
27,10/23/15 12:48:51.936 PM,20.27,,,,
28,10/23/15 12:48:52.936 PM,20.27,,,,
29,10/23/15 12:48:53.936 PM,20.27,,,,
30,10/23/15 12:48:54.936 PM,20.27,,,,
31,10/23/15 12:48:55.936 PM,20.61,,,,
32,10/23/15 12:48:56.936 PM,20.27,,,,
33,10/23/15 12:48:57.936 PM,20.27,,,,
34,10/23/15 12:48:58.936 PM,20.61,,,,
35,10/23/15 12:48:59.936 PM,20.27,,,,
36,10/23/15 12:49:00.936 PM,20.27,,,,
37,10/23/15 12:49:01.936 PM,20.27,,,,
38,10/23/15 12:49:02.936 PM,20.27,,,,
39,10/23/15 12:49:03.936 PM,20.27,,,,
40,10/23/15 12:49:04.936 PM,20.61,,,,
41,10/23/15 12:49:05.936 PM,20.27,,,,
42,10/23/15 12:49:06.936 PM,20.27,,,,
43,10/23/15 12:49:07.936 PM,20.27,,,,
44,10/23/15 12:49:08.936 PM,20.27,,,,
45,10/23/15 12:49:09.936 PM,20.27,,,,
46,10/23/15 12:49:10.936 PM,20.61,,,,
47,10/23/15 12:49:11.936 PM,20.61,,,,
48,10/23/15 12:49:12.936 PM,20.27,,,,
49,10/23/15 12:49:13.936 PM,20.27,,,,
50,10/23/15 12:49:14.936 PM,20.27,,,,
51,10/23/15 12:49:15.936 PM,20.61,,,,
52,10/23/15 12:49:16.936 PM,20.61,,,,
53,10/23/15 12:49:17.936 PM,20.27,,,,
54,10/23/15 12:49:18.936 PM,20.61,,,,
55,10/23/15 12:49:19.936 PM,20.61,,,,
56,10/23/15 12:49:20.936 PM,20.61,,,,
57,10/23/15 12:49:21.936 PM,20.61,,,,
58,10/23/15 12:49:22.936 PM,20.27,,,,
59,10/23/15 12:49:23.936 PM,20.61,,,,
60,10/23/15 12:49:24.936 PM,20.61,,,,
61,10/23/15 12:49:25.936 PM,20.61,,,,
62,10/23/15 12:49:26.936 PM,20.61,,,,
63,10/23/15 12:49:27.936 PM,20.61,,,,
64,10/23/15 12:49:28.936 PM,20.61,,,,
65,10/23/15 12:49:29.936 PM,20.61,,,,
66,10/23/15 12:49:30.936 PM,20.61,,,,
67,10/23/15 12:49:31.936 PM,20.61,,,,
68,10/23/15 12:49:32.936 PM,20.61,,,,
69,10/23/15 12:49:33.936 PM,20.27,,,,
