"Plot Title: 1283022 "
"#","Time, GMT-05:00","K-Type, °C","Started","Host Connected","Stopped","End Of File"
117,10/23/15 12:50:45.293 PM,22.97,,,,
118,10/23/15 12:50:46.293 PM,22.97,,,,
119,10/23/15 12:50:47.293 PM,22.97,,,,
120,10/23/15 12:50:48.293 PM,22.97,,,,
121,10/23/15 12:50:49.293 PM,22.63,,,,
122,10/23/15 12:50:50.293 PM,22.97,,,,
123,10/23/15 12:50:51.293 PM,22.97,,,,
124,10/23/15 12:50:52.293 PM,22.63,,,,
125,10/23/15 12:50:53.293 PM,23.30,,,,
126,10/23/15 12:50:54.293 PM,23.64,,,,
127,10/23/15 12:50:55.293 PM,23.64,,,,
128,10/23/15 12:50:56.293 PM,23.64,,,,
129,10/23/15 12:50:57.293 PM,23.30,,,,
130,10/23/15 12:50:58.293 PM,23.30,,,,
131,10/23/15 12:50:59.293 PM,23.30,,,,
132,10/23/15 12:51:00.293 PM,22.97,,,,
133,10/23/15 12:51:01.293 PM,23.30,,,,
134,10/23/15 12:51:02.293 PM,22.97,,,,
135,10/23/15 12:51:03.293 PM,22.97,,,,
136,10/23/15 12:51:04.293 PM,22.97,,,,
137,10/23/15 12:51:05.293 PM,23.30,,,,
138,10/23/15 12:51:06.293 PM,22.97,,,,
139,10/23/15 12:51:07.293 PM,22.97,,,,
140,10/23/15 12:51:08.293 PM,22.97,,,,
141,10/23/15 12:51:09.293 PM,22.97,,,,
142,10/23/15 12:51:10.293 PM,22.97,,,,
143,10/23/15 12:51:11.293 PM,22.97,,,,
144,10/23/15 12:51:12.293 PM,22.97,,,,
145,10/23/15 12:51:13.293 PM,22.97,,,,
146,10/23/15 12:51:14.293 PM,22.97,,,,
147,10/23/15 12:51:15.293 PM,22.97,,,,
148,10/23/15 12:51:16.293 PM,22.97,,,,
149,10/23/15 12:51:17.293 PM,22.97,,,,
150,10/23/15 12:51:18.293 PM,22.97,,,,
151,10/23/15 12:51:19.293 PM,22.97,,,,
152,10/23/15 12:51:20.293 PM,22.97,,,,
153,10/23/15 12:51:21.293 PM,22.97,,,,
154,10/23/15 12:51:22.293 PM,22.97,,,,
155,10/23/15 12:51:23.293 PM,22.97,,,,
156,10/23/15 12:51:24.293 PM,22.97,,,,
157,10/23/15 12:51:25.293 PM,22.63,,,,
158,10/23/15 12:51:26.293 PM,22.97,,,,
159,10/23/15 12:51:27.293 PM,22.97,,,,
160,10/23/15 12:51:28.293 PM,22.63,,,,
161,10/23/15 12:51:29.293 PM,22.97,,,,
162,10/23/15 12:51:30.293 PM,22.97,,,,
163,10/23/15 12:51:31.293 PM,22.97,,,,
164,10/23/15 12:51:32.293 PM,22.63,,,,
165,10/23/15 12:51:33.293 PM,23.64,,,,
166,10/23/15 12:51:34.293 PM,23.30,,,,
167,10/23/15 12:51:35.293 PM,23.30,,,,
168,10/23/15 12:51:36.293 PM,23.30,,,,
169,10/23/15 12:51:37.293 PM,23.30,,,,
170,10/23/15 12:51:38.293 PM,23.30,,,,
171,10/23/15 12:51:39.293 PM,23.64,,,,
172,10/23/15 12:51:40.293 PM,23.64,,,,
173,10/23/15 12:51:41.293 PM,23.30,,,,
174,10/23/15 12:51:42.293 PM,22.97,,,,
175,10/23/15 12:51:43.293 PM,23.30,,,,
176,10/23/15 12:51:44.293 PM,22.97,,,,
177,10/23/15 12:51:45.293 PM,23.30,,,,
178,10/23/15 12:51:46.293 PM,22.97,,,,
179,10/23/15 12:51:47.293 PM,22.97,,,,
180,10/23/15 12:51:48.293 PM,22.97,,,,
181,10/23/15 12:51:49.293 PM,22.97,,,,
182,10/23/15 12:51:50.293 PM,22.97,,,,
183,10/23/15 12:51:51.293 PM,22.97,,,,
184,10/23/15 12:51:52.293 PM,22.97,,,,
185,10/23/15 12:51:53.293 PM,22.97,,,,
186,10/23/15 12:51:54.293 PM,22.97,,,,
187,10/23/15 12:51:55.293 PM,22.97,,,,
188,10/23/15 12:51:56.293 PM,22.97,,,,
189,10/23/15 12:51:57.293 PM,23.30,,,,
190,10/23/15 12:51:58.293 PM,23.30,,,,
191,10/23/15 12:51:59.293 PM,22.97,,,,
192,10/23/15 12:52:00.293 PM,22.97,,,,
193,10/23/15 12:52:01.293 PM,22.97,,,,
194,10/23/15 12:52:02.293 PM,23.30,,,,
195,10/23/15 12:52:03.293 PM,23.30,,,,
196,10/23/15 12:52:04.293 PM,23.30,,,,
197,10/23/15 12:52:05.293 PM,23.64,,,,
198,10/23/15 12:52:06.293 PM,23.30,,,,
199,10/23/15 12:52:07.293 PM,23.30,,,,
200,10/23/15 12:52:08.293 PM,23.30,,,,
201,10/23/15 12:52:09.293 PM,23.30,,,,
202,10/23/15 12:52:10.293 PM,23.30,,,,
203,10/23/15 12:52:11.293 PM,22.97,,,,
204,10/23/15 12:52:12.293 PM,22.97,,,,
205,10/23/15 12:52:13.293 PM,22.97,,,,
206,10/23/15 12:52:14.293 PM,23.30,,,,
207,10/23/15 12:52:15.293 PM,23.30,,,,
208,10/23/15 12:52:16.293 PM,23.30,,,,
209,10/23/15 12:52:17.293 PM,22.97,,,,
210,10/23/15 12:52:18.293 PM,22.97,,,,
211,10/23/15 12:52:19.293 PM,22.97,,,,
212,10/23/15 12:52:20.293 PM,22.97,,,,
213,10/23/15 12:52:21.293 PM,22.97,,,,
214,10/23/15 12:52:22.293 PM,22.97,,,,
215,10/23/15 12:52:23.293 PM,22.63,,,,
216,10/23/15 12:52:24.293 PM,22.97,,,,
217,10/23/15 12:52:25.293 PM,22.97,,,,
218,10/23/15 12:52:26.293 PM,22.97,,,,
219,10/23/15 12:52:27.293 PM,22.97,,,,
220,10/23/15 12:52:28.293 PM,22.97,,,,
221,10/23/15 12:52:29.293 PM,22.97,,,,
222,10/23/15 12:52:30.293 PM,22.97,,,,
223,10/23/15 12:52:31.293 PM,22.97,,,,
224,10/23/15 12:52:32.293 PM,22.97,,,,
225,10/23/15 12:52:33.293 PM,23.30,,,,
226,10/23/15 12:52:34.293 PM,22.97,,,,
227,10/23/15 12:52:35.293 PM,22.97,,,,
228,10/23/15 12:52:36.293 PM,22.97,,,,
229,10/23/15 12:52:37.293 PM,22.97,,,,
230,10/23/15 12:52:38.293 PM,22.97,,,,
231,10/23/15 12:52:39.293 PM,22.97,,,,
232,10/23/15 12:52:40.293 PM,22.97,,,,
233,10/23/15 12:52:41.293 PM,22.97,,,,
234,10/23/15 12:52:42.293 PM,22.97,,,,
235,10/23/15 12:52:43.293 PM,22.63,,,,
236,10/23/15 12:52:44.293 PM,22.63,,,,
237,10/23/15 12:52:45.293 PM,22.63,,,,
238,10/23/15 12:52:46.293 PM,22.63,,,,
239,10/23/15 12:52:47.293 PM,22.63,,,,
240,10/23/15 12:52:48.293 PM,22.97,,,,
241,10/23/15 12:52:49.293 PM,22.97,,,,
242,10/23/15 12:52:50.293 PM,22.63,,,,
243,10/23/15 12:52:51.293 PM,22.63,,,,
244,10/23/15 12:52:52.293 PM,22.97,,,,
245,10/23/15 12:52:53.293 PM,22.63,,,,
246,10/23/15 12:52:54.293 PM,22.63,,,,
247,10/23/15 12:52:55.293 PM,22.63,,,,
248,10/23/15 12:52:56.293 PM,22.63,,,,
249,10/23/15 12:52:57.293 PM,22.63,,,,
250,10/23/15 12:52:58.293 PM,22.63,,,,
251,10/23/15 12:52:59.293 PM,22.63,,,,
252,10/23/15 12:53:00.293 PM,22.63,,,,
253,10/23/15 12:53:01.293 PM,22.63,,,,
254,10/23/15 12:53:02.293 PM,22.63,,,,
255,10/23/15 12:53:03.293 PM,22.63,,,,
256,10/23/15 12:53:04.293 PM,22.63,,,,
257,10/23/15 12:53:05.293 PM,22.63,,,,
258,10/23/15 12:53:06.293 PM,22.63,,,,
259,10/23/15 12:53:07.293 PM,22.63,,,,
260,10/23/15 12:53:08.293 PM,22.63,,,,
261,10/23/15 12:53:09.293 PM,22.63,,,,
262,10/23/15 12:53:10.293 PM,22.63,,,,
263,10/23/15 12:53:11.293 PM,22.63,,,,
264,10/23/15 12:53:12.293 PM,22.63,,,,
265,10/23/15 12:53:13.293 PM,22.63,,,,
266,10/23/15 12:53:14.293 PM,22.63,,,,
267,10/23/15 12:53:15.293 PM,22.63,,,,
268,10/23/15 12:53:16.293 PM,22.63,,,,
269,10/23/15 12:53:17.293 PM,22.63,,,,
270,10/23/15 12:53:18.293 PM,22.63,,,,
271,10/23/15 12:53:19.293 PM,22.63,,,,
272,10/23/15 12:53:20.293 PM,22.63,,,,
273,10/23/15 12:53:21.293 PM,22.63,,,,
274,10/23/15 12:53:22.293 PM,22.63,,,,
275,10/23/15 12:53:23.293 PM,22.63,,,,
276,10/23/15 12:53:24.293 PM,22.63,,,,
277,10/23/15 12:53:25.293 PM,22.63,,,,
278,10/23/15 12:53:26.293 PM,22.29,,,,
279,10/23/15 12:53:27.293 PM,22.29,,,,
280,10/23/15 12:53:28.293 PM,22.63,,,,
281,10/23/15 12:53:29.293 PM,22.29,,,,
282,10/23/15 12:53:30.293 PM,22.29,,,,
283,10/23/15 12:53:31.293 PM,22.63,,,,
284,10/23/15 12:53:32.293 PM,22.29,,,,
285,10/23/15 12:53:33.293 PM,22.29,,,,
286,10/23/15 12:53:34.293 PM,22.29,,,,
287,10/23/15 12:53:35.293 PM,22.29,,,,
288,10/23/15 12:53:36.293 PM,22.29,,,,
289,10/23/15 12:53:37.293 PM,22.29,,,,
290,10/23/15 12:53:38.293 PM,22.29,,,,
291,10/23/15 12:53:39.293 PM,22.29,,,,
292,10/23/15 12:53:40.293 PM,22.63,,,,
293,10/23/15 12:53:41.293 PM,22.29,,,,
294,10/23/15 12:53:42.293 PM,22.29,,,,
295,10/23/15 12:53:43.293 PM,22.63,,,,
296,10/23/15 12:53:44.293 PM,22.63,,,,
297,10/23/15 12:53:45.293 PM,22.29,,,,
298,10/23/15 12:53:46.293 PM,22.29,,,,
299,10/23/15 12:53:47.293 PM,22.29,,,,
300,10/23/15 12:53:48.293 PM,22.29,,,,
301,10/23/15 12:53:49.293 PM,22.29,,,,
302,10/23/15 12:53:50.293 PM,22.29,,,,
303,10/23/15 12:53:51.293 PM,22.29,,,,
304,10/23/15 12:53:52.293 PM,22.29,,,,
305,10/23/15 12:53:53.293 PM,22.29,,,,
306,10/23/15 12:53:54.293 PM,22.29,,,,
307,10/23/15 12:53:55.293 PM,22.29,,,,
308,10/23/15 12:53:56.293 PM,22.29,,,,
309,10/23/15 12:53:57.293 PM,22.29,,,,
310,10/23/15 12:53:58.293 PM,22.29,,,,
311,10/23/15 12:53:59.293 PM,22.29,,,,
312,10/23/15 12:54:00.293 PM,22.29,,,,
313,10/23/15 12:54:01.293 PM,22.29,,,,
314,10/23/15 12:54:02.293 PM,22.29,,,,
315,10/23/15 12:54:03.293 PM,22.29,,,,
316,10/23/15 12:54:04.293 PM,22.29,,,,
317,10/23/15 12:54:05.293 PM,22.29,,,,
318,10/23/15 12:54:06.293 PM,22.29,,,,
319,10/23/15 12:54:07.293 PM,22.29,,,,
320,10/23/15 12:54:08.293 PM,22.29,,,,
321,10/23/15 12:54:09.293 PM,22.29,,,,
322,10/23/15 12:54:10.293 PM,22.29,,,,
323,10/23/15 12:54:11.293 PM,22.29,,,,
324,10/23/15 12:54:12.293 PM,22.29,,,,
325,10/23/15 12:54:13.293 PM,22.29,,,,
326,10/23/15 12:54:14.293 PM,22.29,,,,
327,10/23/15 12:54:15.293 PM,22.29,,,,
328,10/23/15 12:54:16.293 PM,22.29,,,,
329,10/23/15 12:54:17.293 PM,22.29,,,,
330,10/23/15 12:54:18.293 PM,22.29,,,,
331,10/23/15 12:54:19.293 PM,22.29,,,,
332,10/23/15 12:54:20.293 PM,22.29,,,,
333,10/23/15 12:54:21.293 PM,22.29,,,,
334,10/23/15 12:54:22.293 PM,22.29,,,,
335,10/23/15 12:54:23.293 PM,22.29,,,,
336,10/23/15 12:54:24.293 PM,22.29,,,,
337,10/23/15 12:54:25.293 PM,22.29,,,,
338,10/23/15 12:54:26.293 PM,22.29,,,,
339,10/23/15 12:54:27.293 PM,22.29,,,,
340,10/23/15 12:54:28.293 PM,22.29,,,,
341,10/23/15 12:54:29.293 PM,22.29,,,,
342,10/23/15 12:54:30.293 PM,22.29,,,,
343,10/23/15 12:54:31.293 PM,22.29,,,,
344,10/23/15 12:54:32.293 PM,22.63,,,,
345,10/23/15 12:54:33.293 PM,22.29,,,,
346,10/23/15 12:54:34.293 PM,22.63,,,,
347,10/23/15 12:54:35.293 PM,22.63,,,,
348,10/23/15 12:54:36.293 PM,22.63,,,,
349,10/23/15 12:54:37.293 PM,22.63,,,,
350,10/23/15 12:54:38.293 PM,22.29,,,,
351,10/23/15 12:54:39.293 PM,22.63,,,,
352,10/23/15 12:54:40.293 PM,22.63,,,,
353,10/23/15 12:54:41.293 PM,22.63,,,,
354,10/23/15 12:54:42.293 PM,22.63,,,,
355,10/23/15 12:54:43.293 PM,22.29,,,,
356,10/23/15 12:54:44.293 PM,22.29,,,,
357,10/23/15 12:54:45.293 PM,22.29,,,,
358,10/23/15 12:54:46.293 PM,22.63,,,,
359,10/23/15 12:54:47.293 PM,22.29,,,,
360,10/23/15 12:54:48.293 PM,22.29,,,,
361,10/23/15 12:54:49.293 PM,22.29,,,,
362,10/23/15 12:54:50.293 PM,22.29,,,,
363,10/23/15 12:54:51.293 PM,22.63,,,,
364,10/23/15 12:54:52.293 PM,22.29,,,,
365,10/23/15 12:54:53.293 PM,22.63,,,,
366,10/23/15 12:54:54.293 PM,22.29,,,,
367,10/23/15 12:54:55.293 PM,22.29,,,,
368,10/23/15 12:54:56.293 PM,22.63,,,,
369,10/23/15 12:54:57.293 PM,22.29,,,,
370,10/23/15 12:54:58.293 PM,22.29,,,,
371,10/23/15 12:54:59.293 PM,22.29,,,,
372,10/23/15 12:55:00.293 PM,22.29,,,,
373,10/23/15 12:55:01.293 PM,22.63,,,,
374,10/23/15 12:55:02.293 PM,22.29,,,,
375,10/23/15 12:55:03.293 PM,22.29,,,,
376,10/23/15 12:55:04.293 PM,22.29,,,,
377,10/23/15 12:55:05.293 PM,22.63,,,,
378,10/23/15 12:55:06.293 PM,22.29,,,,
379,10/23/15 12:55:07.293 PM,22.97,,,,
380,10/23/15 12:55:08.293 PM,22.63,,,,
381,10/23/15 12:55:09.293 PM,22.63,,,,
382,10/23/15 12:55:10.293 PM,22.63,,,,
383,10/23/15 12:55:11.293 PM,22.63,,,,
384,10/23/15 12:55:12.293 PM,22.29,,,,
385,10/23/15 12:55:13.293 PM,22.63,,,,
386,10/23/15 12:55:14.293 PM,22.63,,,,
387,10/23/15 12:55:15.293 PM,22.63,,,,
388,10/23/15 12:55:16.293 PM,22.63,,,,
