time,mass
2015-10-23 16:52:57 ,"545	ag08	71.0421929359	6215000.0000000000"
2015-10-23 16:52:58 ,"540	ag08	72.0372099876	6214500.0000000000"
2015-10-23 16:52:59 ,"543	ag08	73.0402090549	6214400.0000000000"
2015-10-23 16:53:00 ,"540	ag08	74.0372099876	6214700.0000000000"
2015-10-23 16:53:01 ,"579	ag08	75.0762081146	6214700.0000000000"
2015-10-23 16:53:02 ,"562	ag08	76.0590109825	6215400.0000000000"
2015-10-23 16:53:03 ,"544	ag08	77.0412359238	6182800.0000000000"
2015-10-23 16:53:04 ,"545	ag08	78.0423400402	6214000.0000000000"
2015-10-23 16:53:05 ,"540	ag08	79.0373399258	6213600.0000000000"
2015-10-23 16:53:06 ,"544	ag08	80.0412740707	6215200.0000000000"
2015-10-23 16:53:07 ,"558	ag08	81.0552930832	6209900.0000000000"
2015-10-23 16:53:08 ,"542	ag08	82.0392811298	6125900.0000000000"
2015-10-23 16:53:09 ,"540	ag08	83.0373139381	6022800.0000000000"
2015-10-23 16:53:10 ,"540	ag08	84.0372209549	6030400.0000000000"
2015-10-23 16:53:11 ,"545	ag08	85.0421950817	6110900.0000000000"
2015-10-23 16:53:12 ,"540	ag08	86.0371439457	6198600.0000000000"
2015-10-23 16:53:13 ,"569	ag08	87.0661621094	6211700.0000000000"
2015-10-23 16:53:14 ,"553	ag08	88.0500891209	6211800.0000000000"
2015-10-23 16:53:15 ,"542	ag08	89.0391209126	6211800.0000000000"
2015-10-23 16:53:16 ,"541	ag08	90.0381000042	6211800.0000000000"
2015-10-23 16:53:17 ,"541	ag08	91.0381329060	6211800.0000000000"
2015-10-23 16:53:18 ,"563	ag08	92.0600860119	6211400.0000000000"
2015-10-23 16:53:19 ,"546	ag08	93.0431029797	6211400.0000000000"
2015-10-23 16:53:20 ,"544	ag08	94.0411000252	6211500.0000000000"
2015-10-23 16:53:21 ,"540	ag08	95.0370869637	6211500.0000000000"
2015-10-23 16:53:22 ,"542	ag08	96.0391249657	6211500.0000000000"
2015-10-23 16:53:23 ,"540	ag08	97.0372121334	6211400.0000000000"
2015-10-23 16:53:24 ,"578	ag08	98.0751199722	6211400.0000000000"
2015-10-23 16:53:25 ,"560	ag08	99.0570831299	6211400.0000000000"
2015-10-23 16:53:26 ,"543	ag08	100.0400700569	6211400.0000000000"
2015-10-23 16:53:27 ,"544	ag08	101.0411031246	6211400.0000000000"
2015-10-23 16:53:28 ,"540	ag08	102.0370879173	6211400.0000000000"
2015-10-23 16:53:29 ,"543	ag08	103.0401029587	6211400.0000000000"
2015-10-23 16:53:30 ,"554	ag08	104.0509450436	6211400.0000000000"
2015-10-23 16:53:31 ,"541	ag08	105.0380060673	6211500.0000000000"
2015-10-23 16:53:32 ,"546	ag08	106.0431060791	6211500.0000000000"
2015-10-23 16:53:33 ,"540	ag08	107.0369949341	6211500.0000000000"
2015-10-23 16:53:34 ,"544	ag08	108.0409810543	6211600.0000000000"
2015-10-23 16:53:35 ,"540	ag08	109.0369701385	6211400.0000000000"
2015-10-23 16:53:36 ,"569	ag08	110.0659759045	6211100.0000000000"
2015-10-23 16:53:37 ,"551	ag08	111.0479049683	6211000.0000000000"
2015-10-23 16:53:38 ,"541	ag08	112.0378680229	6211100.0000000000"
2015-10-23 16:53:39 ,"546	ag08	113.0428969860	6211100.0000000000"
2015-10-23 16:53:40 ,"540	ag08	114.0368399620	6211100.0000000000"
2015-10-23 16:53:41 ,"562	ag08	115.0589110851	6211100.0000000000"
2015-10-23 16:53:42 ,"545	ag08	116.0419299603	6210900.0000000000"
2015-10-23 16:53:43 ,"543	ag08	117.0398349762	6210800.0000000000"
2015-10-23 16:53:44 ,"540	ag08	118.0368270874	6210800.0000000000"
2015-10-23 16:53:45 ,"541	ag08	119.0378661156	6210900.0000000000"
2015-10-23 16:53:46 ,"547	ag08	120.0438270569	6211000.0000000000"
2015-10-23 16:53:47 ,"577	ag08	121.0737390518	6211100.0000000000"
2015-10-23 16:53:48 ,"559	ag08	122.0556731224	6211100.0000000000"
2015-10-23 16:53:49 ,"542	ag08	123.0387470722	6211100.0000000000"
2015-10-23 16:53:50 ,"543	ag08	124.0397279263	6211100.0000000000"
2015-10-23 16:53:51 ,"540	ag08	125.0367250443	6211100.0000000000"
2015-10-23 16:53:52 ,"542	ag08	126.0386450291	6211100.0000000000"
2015-10-23 16:53:53 ,"553	ag08	127.0496261120	6211000.0000000000"
2015-10-23 16:53:54 ,"541	ag08	128.0375571251	6211000.0000000000"
2015-10-23 16:53:55 ,"545	ag08	129.0415019989	6211000.0000000000"
2015-10-23 16:53:56 ,"540	ag08	130.0374619961	6210700.0000000000"
2015-10-23 16:53:57 ,"544	ag08	131.0405030251	6210900.0000000000"
2015-10-23 16:53:58 ,"541	ag08	132.0375580788	6211000.0000000000"
2015-10-23 16:53:59 ,"568	ag08	133.0645060539	6211000.0000000000"
2015-10-23 16:54:00 ,"551	ag08	134.0475599766	6211000.0000000000"
2015-10-23 16:54:01 ,"541	ag08	135.0375289917	6211100.0000000000"
2015-10-23 16:54:02 ,"545	ag08	136.0415310860	6211100.0000000000"
2015-10-23 16:54:03 ,"541	ag08	137.0374789238	6211100.0000000000"
2015-10-23 16:54:04 ,"560	ag08	138.0574240685	6211100.0000000000"
2015-10-23 16:54:05 ,"543	ag08	139.0404479504	6211100.0000000000"
2015-10-23 16:54:06 ,"542	ag08	140.0384790897	6211100.0000000000"
2015-10-23 16:54:07 ,"547	ag08	141.0435070992	6211000.0000000000"
2015-10-23 16:54:08 ,"541	ag08	142.0374920368	6211000.0000000000"
2015-10-23 16:54:09 ,"546	ag08	143.0425300598	6211000.0000000000"
2015-10-23 16:54:10 ,"575	ag08	144.0715880394	6211000.0000000000"
2015-10-23 16:54:11 ,"558	ag08	145.0545830727	6211000.0000000000"
2015-10-23 16:54:12 ,"541	ag08	146.0376100540	6211300.0000000000"
2015-10-23 16:54:13 ,"542	ag08	147.0385439396	6211300.0000000000"
2015-10-23 16:54:14 ,"547	ag08	148.0435349941	6211300.0000000000"
2015-10-23 16:54:15 ,"541	ag08	149.0375320911	6211200.0000000000"
2015-10-23 16:54:16 ,"552	ag08	150.0485320091	6211200.0000000000"
2015-10-23 16:54:17 ,"542	ag08	151.0385069847	6211200.0000000000"
2015-10-23 16:54:18 ,"544	ag08	152.0405039787	6211200.0000000000"
2015-10-23 16:54:19 ,"541	ag08	153.0375039577	6211200.0000000000"
2015-10-23 16:54:20 ,"542	ag08	154.0384919643	6211300.0000000000"
2015-10-23 16:54:21 ,"584	ag08	155.0805499554	6211300.0000000000"
2015-10-23 16:54:22 ,"567	ag08	156.0635490417	6211300.0000000000"
2015-10-23 16:54:23 ,"549	ag08	157.0455861092	6211200.0000000000"
2015-10-23 16:54:24 ,"541	ag08	158.0376510620	6211200.0000000000"
2015-10-23 16:54:25 ,"544	ag08	159.0406219959	6211200.0000000000"
2015-10-23 16:54:26 ,"541	ag08	160.0376191139	6211200.0000000000"
2015-10-23 16:54:27 ,"560	ag08	161.0567181110	6211100.0000000000"
2015-10-23 16:54:28 ,"543	ag08	162.0396559238	6207300.0000000000"
2015-10-23 16:54:29 ,"541	ag08	163.0376350880	6211400.0000000000"
2015-10-23 16:54:30 ,"546	ag08	164.0426619053	6213400.0000000000"
2015-10-23 16:54:31 ,"540	ag08	165.0366871357	6211600.0000000000"
2015-10-23 16:54:32 ,"545	ag08	166.0416119099	6211500.0000000000"
2015-10-23 16:54:33 ,"575	ag08	167.0715079308	6211400.0000000000"
2015-10-23 16:54:34 ,"557	ag08	168.0535340309	6210800.0000000000"
2015-10-23 16:54:35 ,"547	ag08	169.0435121059	6210700.0000000000"
2015-10-23 16:54:36 ,"541	ag08	170.0375220776	6210700.0000000000"
2015-10-23 16:54:37 ,"546	ag08	171.0425651073	6210800.0000000000"
2015-10-23 16:54:38 ,"540	ag08	172.0365419388	6210800.0000000000"
2015-10-23 16:54:39 ,"551	ag08	173.0475389957	6210700.0000000000"
2015-10-23 16:54:40 ,"541	ag08	174.0375440121	6210600.0000000000"
2015-10-23 16:54:41 ,"543	ag08	175.0395240784	6210600.0000000000"
2015-10-23 16:54:42 ,"541	ag08	176.0375070572	6210500.0000000000"
2015-10-23 16:54:43 ,"541	ag08	177.0375659466	6210000.0000000000"
2015-10-23 16:54:44 ,"582	ag08	178.0794289112	6210700.0000000000"
2015-10-23 16:54:45 ,"564	ag08	179.0613920689	6211200.0000000000"
2015-10-23 16:54:46 ,"548	ag08	180.0445570946	6211200.0000000000"
2015-10-23 16:54:47 ,"541	ag08	181.0374839306	6211300.0000000000"
2015-10-23 16:54:48 ,"543	ag08	182.0395660400	6211200.0000000000"
2015-10-23 16:54:49 ,"540	ag08	183.0364949703	6215500.0000000000"
2015-10-23 16:54:50 ,"559	ag08	184.0555241108	6211500.0000000000"
2015-10-23 16:54:51 ,"546	ag08	185.0425679684	6212300.0000000000"
2015-10-23 16:54:52 ,"540	ag08	186.0365719795	6212000.0000000000"
2015-10-23 16:54:53 ,"545	ag08	187.0415871143	6210800.0000000000"
2015-10-23 16:54:54 ,"540	ag08	188.0365791321	6210500.0000000000"
2015-10-23 16:54:55 ,"544	ag08	189.0405089855	6210500.0000000000"
2015-10-23 16:54:56 ,"574	ag08	190.0705080032	6210000.0000000000"
2015-10-23 16:54:57 ,"556	ag08	191.0525910854	6209700.0000000000"
2015-10-23 16:54:58 ,"546	ag08	192.0425679684	6209400.0000000000"
2015-10-23 16:54:59 ,"540	ag08	193.0366210938	6209500.0000000000"
2015-10-23 16:55:00 ,"545	ag08	194.0415370464	6208400.0000000000"
2015-10-23 16:55:01 ,"541	ag08	195.0374839306	6207600.0000000000"
2015-10-23 16:55:02 ,"549	ag08	196.0464029312	6208900.0000000000"
2015-10-23 16:55:03 ,"541	ag08	197.0375220776	6206300.0000000000"
2015-10-23 16:55:04 ,"542	ag08	198.0384850502	6205200.0000000000"
2015-10-23 16:55:05 ,"546	ag08	199.0433521271	6202400.0000000000"
2015-10-23 16:55:06 ,"541	ag08	200.0374579430	6199900.0000000000"
2015-10-23 16:55:07 ,"581	ag08	201.0783829689	6203400.0000000000"
2015-10-23 16:55:08 ,"564	ag08	202.0611789227	6201600.0000000000"
2015-10-23 16:55:09 ,"546	ag08	203.0433521271	6205500.0000000000"
2015-10-23 16:55:10 ,"540	ag08	204.0373771191	6205600.0000000000"
2015-10-23 16:55:11 ,"541	ag08	205.0384061337	6201000.0000000000"
2015-10-23 16:55:12 ,"546	ag08	206.0434100628	6203000.0000000000"
2015-10-23 16:55:13 ,"557	ag08	207.0543639660	6198800.0000000000"
2015-10-23 16:55:14 ,"544	ag08	208.0413799286	6189000.0000000000"
2015-10-23 16:55:15 ,"540	ag08	209.0373780727	6193000.0000000000"
2015-10-23 16:55:16 ,"543	ag08	210.0403521061	6198700.0000000000"
2015-10-23 16:55:17 ,"540	ag08	211.0373511314	6200000.0000000000"
2015-10-23 16:55:18 ,"542	ag08	212.0394129753	6199700.0000000000"
2015-10-23 16:55:19 ,"572	ag08	213.0693850517	6198200.0000000000"
2015-10-23 16:55:20 ,"554	ag08	214.0514080524	6196800.0000000000"
2015-10-23 16:55:21 ,"544	ag08	215.0413529873	6196000.0000000000"
2015-10-23 16:55:22 ,"540	ag08	216.0373780727	6195600.0000000000"
2015-10-23 16:55:23 ,"543	ag08	217.0403261185	6194000.0000000000"
2015-10-23 16:55:24 ,"540	ag08	218.0373549461	6192900.0000000000"
2015-10-23 16:55:25 ,"548	ag08	219.0453140736	6192900.0000000000"
2015-10-23 16:55:26 ,"546	ag08	220.0432429314	6192700.0000000000"
2015-10-23 16:55:27 ,"540	ag08	221.0371680260	6192500.0000000000"
2015-10-23 16:55:28 ,"545	ag08	222.0421459675	6192600.0000000000"
2015-10-23 16:55:29 ,"540	ag08	223.0371129513	6193600.0000000000"
2015-10-23 16:55:30 ,"580	ag08	224.0769560337	6194200.0000000000"
2015-10-23 16:55:31 ,"563	ag08	225.0598180294	6194800.0000000000"
2015-10-23 16:55:32 ,"546	ag08	226.0429449081	6194900.0000000000"
2015-10-23 16:55:33 ,"540	ag08	227.0368769169	6195300.0000000000"
2015-10-23 16:55:34 ,"540	ag08	228.0368359089	6195800.0000000000"
2015-10-23 16:55:35 ,"546	ag08	229.0428071022	6196300.0000000000"
2015-10-23 16:55:36 ,"556	ag08	230.0528399944	6196500.0000000000"
2015-10-23 16:55:37 ,"544	ag08	231.0408000946	6196700.0000000000"
2015-10-23 16:55:38 ,"540	ag08	232.0367450714	6196800.0000000000"
2015-10-23 16:55:39 ,"542	ag08	233.0387310982	6197300.0000000000"
2015-10-23 16:55:40 ,"540	ag08	234.0366709232	6197200.0000000000"
2015-10-23 16:55:41 ,"541	ag08	235.0376191139	6197200.0000000000"
2015-10-23 16:55:42 ,"571	ag08	236.0676300526	6197100.0000000000"
2015-10-23 16:55:43 ,"554	ag08	237.0506551266	6197200.0000000000"
2015-10-23 16:55:44 ,"544	ag08	238.0407090187	6197200.0000000000"
2015-10-23 16:55:45 ,"540	ag08	239.0367419720	6197500.0000000000"
2015-10-23 16:55:46 ,"542	ag08	240.0388100147	6197700.0000000000"
2015-10-23 16:55:47 ,"540	ag08	241.0367109776	6197700.0000000000"
2015-10-23 16:55:48 ,"547	ag08	242.0435929298	6197800.0000000000"
2015-10-23 16:55:49 ,"545	ag08	243.0416970253	6197500.0000000000"
2015-10-23 16:55:50 ,"541	ag08	244.0377740860	6197400.0000000000"
2015-10-23 16:55:51 ,"544	ag08	245.0407350063	6198000.0000000000"
2015-10-23 16:55:52 ,"541	ag08	246.0377271175	6197800.0000000000"
2015-10-23 16:55:53 ,"579	ag08	247.0757389069	6197700.0000000000"
2015-10-23 16:55:54 ,"562	ag08	248.0585470200	6197700.0000000000"
2015-10-23 16:55:55 ,"545	ag08	249.0416309834	6197800.0000000000"
2015-10-23 16:55:56 ,"546	ag08	250.0425899029	6197800.0000000000"
2015-10-23 16:55:57 ,"541	ag08	251.0376300812	6198400.0000000000"
2015-10-23 16:55:58 ,"545	ag08	252.0416200161	6198500.0000000000"
2015-10-23 16:55:59 ,"555	ag08	253.0516209602	6198600.0000000000"
2015-10-23 16:56:00 ,"543	ag08	254.0396380424	6198300.0000000000"
2015-10-23 16:56:01 ,"540	ag08	255.0366210938	6198200.0000000000"
2015-10-23 16:56:02 ,"541	ag08	256.0376570225	6199000.0000000000"
2015-10-23 16:56:03 ,"546	ag08	257.0426409245	6199200.0000000000"
2015-10-23 16:56:04 ,"541	ag08	258.0375449657	6199200.0000000000"
2015-10-23 16:56:05 ,"570	ag08	259.0664610863	6198600.0000000000"
2015-10-23 16:56:06 ,"552	ag08	260.0493779182	6198700.0000000000"
2015-10-23 16:56:07 ,"542	ag08	261.0393359661	6198600.0000000000"
2015-10-23 16:56:08 ,"540	ag08	262.0372779369	6199300.0000000000"
2015-10-23 16:56:09 ,"541	ag08	263.0382270813	6199200.0000000000"
