"Plot Title: 1283023"
"#","Date Time, GMT-06:00","K-Type, °C (LGR S/N: 1283023, SEN S/N: 1283023)","Started (LGR S/N: 1283023)","Button Down (LGR S/N: 1283023)","Button Up (LGR S/N: 1283023)","Host Connected (LGR S/N: 1283023)","Stopped (LGR S/N: 1283023)","End Of File (LGR S/N: 1283023)"
113,11/06/15 10:59:11 AM,15.20,,,,,,
114,11/06/15 10:59:12 AM,15.20,,,,,,
115,11/06/15 10:59:13 AM,14.86,,,,,,
116,11/06/15 10:59:14 AM,15.20,,,,,,
117,11/06/15 10:59:15 AM,15.20,,,,,,
118,11/06/15 10:59:16 AM,15.20,,,,,,
119,11/06/15 10:59:17 AM,15.20,,,,,,
120,11/06/15 10:59:18 AM,14.86,,,,,,
121,11/06/15 10:59:19 AM,14.86,,,,,,
122,11/06/15 10:59:20 AM,14.86,,,,,,
123,11/06/15 10:59:21 AM,14.86,,,,,,
124,11/06/15 10:59:22 AM,15.20,,,,,,
125,11/06/15 10:59:23 AM,14.86,,,,,,
126,11/06/15 10:59:24 AM,14.86,,,,,,
127,11/06/15 10:59:25 AM,15.20,,,,,,
128,11/06/15 10:59:26 AM,15.20,,,,,,
129,11/06/15 10:59:27 AM,14.86,,,,,,
130,11/06/15 10:59:28 AM,14.86,,,,,,
131,11/06/15 10:59:29 AM,14.86,,,,,,
132,11/06/15 10:59:30 AM,14.86,,,,,,
133,11/06/15 10:59:31 AM,15.20,,,,,,
134,11/06/15 10:59:32 AM,14.86,,,,,,
135,11/06/15 10:59:33 AM,14.86,,,,,,
136,11/06/15 10:59:34 AM,15.20,,,,,,
137,11/06/15 10:59:35 AM,14.86,,,,,,
138,11/06/15 10:59:36 AM,14.86,,,,,,
139,11/06/15 10:59:37 AM,14.86,,,,,,
140,11/06/15 10:59:38 AM,14.86,,,,,,
141,11/06/15 10:59:39 AM,14.86,,,,,,
142,11/06/15 10:59:40 AM,15.20,,,,,,
143,11/06/15 10:59:41 AM,15.20,,,,,,
144,11/06/15 10:59:42 AM,15.20,,,,,,
145,11/06/15 10:59:43 AM,14.86,,,,,,
146,11/06/15 10:59:44 AM,15.20,,,,,,
147,11/06/15 10:59:45 AM,15.20,,,,,,
148,11/06/15 10:59:46 AM,15.20,,,,,,
149,11/06/15 10:59:47 AM,14.86,,,,,,
150,11/06/15 10:59:48 AM,14.86,,,,,,
151,11/06/15 10:59:49 AM,14.86,,,,,,
152,11/06/15 10:59:50 AM,14.86,,,,,,
153,11/06/15 10:59:51 AM,14.86,,,,,,
154,11/06/15 10:59:52 AM,14.86,,,,,,
155,11/06/15 10:59:53 AM,14.86,,,,,,
156,11/06/15 10:59:54 AM,14.86,,,,,,
157,11/06/15 10:59:55 AM,14.86,,,,,,
158,11/06/15 10:59:56 AM,14.86,,,,,,
159,11/06/15 10:59:57 AM,14.86,,,,,,
160,11/06/15 10:59:58 AM,14.86,,,,,,
161,11/06/15 10:59:59 AM,14.86,,,,,,
162,11/06/15 11:00:00 AM,14.86,,,,,,
163,11/06/15 11:00:01 AM,14.86,,,,,,
164,11/06/15 11:00:02 AM,14.86,,,,,,
165,11/06/15 11:00:03 AM,14.86,,,,,,
166,11/06/15 11:00:04 AM,14.86,,,,,,
167,11/06/15 11:00:05 AM,14.86,,,,,,
168,11/06/15 11:00:06 AM,14.86,,,,,,
169,11/06/15 11:00:07 AM,14.86,,,,,,
170,11/06/15 11:00:08 AM,14.86,,,,,,
171,11/06/15 11:00:09 AM,14.86,,,,,,
172,11/06/15 11:00:10 AM,14.86,,,,,,
173,11/06/15 11:00:11 AM,14.86,,,,,,
174,11/06/15 11:00:12 AM,14.86,,,,,,
175,11/06/15 11:00:13 AM,14.86,,,,,,
176,11/06/15 11:00:14 AM,14.86,,,,,,
177,11/06/15 11:00:15 AM,14.86,,,,,,
