time,mass
2016-06-08 11:54:43,"122	ec13	77.0382080078	2318560.0000000000"
2016-06-08 11:54:44,"126	ec13	78.0422849655	2318730.0000000000"
2016-06-08 11:54:45,"122	ec13	79.0374588966	2318780.0000000000"
2016-06-08 11:54:46,"143	ec13	80.0584790707	2318840.0000000000"
2016-06-08 11:54:47,"126	ec13	81.0417339802	2318650.0000000000"
2016-06-08 11:54:48,"124	ec13	82.0399169922	2318680.0000000000"
2016-06-08 11:54:49,"121	ec13	83.0370380878	2318720.0000000000"
2016-06-08 11:54:50,"122	ec13	84.0381639004	2318860.0000000000"
2016-06-08 11:54:51,"127	ec13	85.0433089733	2318980.0000000000"
2016-06-08 11:54:52,"158	ec13	86.0734460354	2319010.0000000000"
2016-06-08 11:54:53,"141	ec13	87.0565550327	2318960.0000000000"
2016-06-08 11:54:54,"124	ec13	88.0397410393	2318470.0000000000"
2016-06-08 11:54:55,"124	ec13	89.0398740768	2318320.0000000000"
2016-06-08 11:54:56,"121	ec13	90.0370590687	2318160.0000000000"
2016-06-08 11:54:57,"123	ec13	91.0391640663	2318080.0000000000"
2016-06-08 11:54:58,"134	ec13	92.0503480434	2318090.0000000000"
2016-06-08 11:54:59,"122	ec13	93.0375089645	2317860.0000000000"
2016-06-08 11:55:00,"126	ec13	94.0416948795	2317610.0000000000"
2016-06-08 11:55:01,"121	ec13	95.0368120670	2317330.0000000000"
2016-06-08 11:55:02,"125	ec13	96.0409388542	2317520.0000000000"
2016-06-08 11:55:03,"121	ec13	97.0371370316	2317240.0000000000"
2016-06-08 11:55:04,"149	ec13	98.0653030872	2316650.0000000000"
2016-06-08 11:55:05,"133	ec13	99.0484359264	2317160.0000000000"
2016-06-08 11:55:06,"122	ec13	100.0376329422	2316810.0000000000"
2016-06-08 11:55:07,"127	ec13	101.0428230762	2316800.0000000000"
2016-06-08 11:55:08,"121	ec13	102.0370168686	2316430.0000000000"
2016-06-08 11:55:09,"147	ec13	103.0631639957	2316180.0000000000"
2016-06-08 11:55:10,"126	ec13	104.0423140526	2316150.0000000000"
2016-06-08 11:55:11,"125	ec13	105.0405130386	2316030.0000000000"
2016-06-08 11:55:12,"122	ec13	106.0377209187	2315510.0000000000"
2016-06-08 11:55:13,"123	ec13	107.0387890339	2315600.0000000000"
2016-06-08 11:55:14,"121	ec13	108.0369620323	2315600.0000000000"
2016-06-08 11:55:15,"158	ec13	109.0741140842	2315420.0000000000"
2016-06-08 11:55:16,"141	ec13	110.0573129654	2315330.0000000000"
2016-06-08 11:55:17,"125	ec13	111.0405099392	2315550.0000000000"
2016-06-08 11:55:18,"125	ec13	112.0406630039	2315180.0000000000"
2016-06-08 11:55:19,"121	ec13	113.0368390083	2315100.0000000000"
2016-06-08 11:55:20,"124	ec13	114.0398929119	2315100.0000000000"
2016-06-08 11:55:21,"135	ec13	115.0510640144	2315100.0000000000"
2016-06-08 11:55:22,"122	ec13	116.0382180214	2315490.0000000000"
2016-06-08 11:55:23,"126	ec13	117.0423929691	2314790.0000000000"
2016-06-08 11:55:24,"122	ec13	118.0375790596	2314180.0000000000"
2016-06-08 11:55:25,"126	ec13	119.0417399406	2314110.0000000000"
2016-06-08 11:55:26,"121	ec13	120.0368800163	2314360.0000000000"
2016-06-08 11:55:27,"150	ec13	121.0660390854	2313360.0000000000"
2016-06-08 11:55:28,"132	ec13	122.0481898785	2313400.0000000000"
2016-06-08 11:55:29,"122	ec13	123.0383510590	2313260.0000000000"
2016-06-08 11:55:30,"128	ec13	124.0434188843	2312580.0000000000"
2016-06-08 11:55:31,"122	ec13	125.0376088619	2312650.0000000000"
2016-06-08 11:55:32,"147	ec13	126.0627419949	2312940.0000000000"
2016-06-08 11:55:33,"126	ec13	127.0418179035	2312630.0000000000"
2016-06-08 11:55:34,"124	ec13	128.0400509834	2312590.0000000000"
2016-06-08 11:55:35,"121	ec13	129.0372369289	2312500.0000000000"
2016-06-08 11:55:36,"124	ec13	130.0394389629	2313180.0000000000"
2016-06-08 11:55:37,"129	ec13	131.0446119308	2312660.0000000000"
2016-06-08 11:55:38,"159	ec13	132.0747539997	2313210.0000000000"
2016-06-08 11:55:39,"142	ec13	133.0578899384	2312260.0000000000"
2016-06-08 11:55:40,"124	ec13	134.0399658680	2311790.0000000000"
2016-06-08 11:55:41,"125	ec13	135.0411498547	2311480.0000000000"
2016-06-08 11:55:42,"121	ec13	136.0373630524	2312010.0000000000"
2016-06-08 11:55:43,"125	ec13	137.0404880047	2311590.0000000000"
2016-06-08 11:55:44,"135	ec13	138.0506050587	2311900.0000000000"
2016-06-08 11:55:45,"122	ec13	139.0377678871	2312990.0000000000"
2016-06-08 11:55:46,"127	ec13	140.0428979397	2313340.0000000000"
2016-06-08 11:55:47,"121	ec13	141.0371289253	2314250.0000000000"
2016-06-08 11:55:48,"125	ec13	142.0412240028	2314420.0000000000"
2016-06-08 11:55:49,"122	ec13	143.0374889374	2313810.0000000000"
2016-06-08 11:55:50,"150	ec13	144.0656690598	2313120.0000000000"
2016-06-08 11:55:51,"134	ec13	145.0498430729	2313120.0000000000"
2016-06-08 11:55:52,"123	ec13	146.0391168594	2312530.0000000000"
2016-06-08 11:55:53,"127	ec13	147.0432178974	2311950.0000000000"
2016-06-08 11:55:54,"122	ec13	148.0374140739	2311760.0000000000"
2016-06-08 11:55:55,"147	ec13	149.0633599758	2311710.0000000000"
2016-06-08 11:55:56,"131	ec13	150.0467209816	2311730.0000000000"
2016-06-08 11:55:57,"125	ec13	151.0408160686	2311790.0000000000"
2016-06-08 11:55:58,"121	ec13	152.0369789600	2312340.0000000000"
2016-06-08 11:55:59,"123	ec13	153.0391168594	2312300.0000000000"
2016-06-08 11:56:00,"121	ec13	154.0372719765	2313200.0000000000"
2016-06-08 11:56:01,"159	ec13	155.0752539635	2313240.0000000000"
2016-06-08 11:56:02,"142	ec13	156.0575609207	2313190.0000000000"
2016-06-08 11:56:03,"125	ec13	157.0407409668	2312530.0000000000"
2016-06-08 11:56:04,"125	ec13	158.0409650803	2311880.0000000000"
2016-06-08 11:56:05,"121	ec13	159.0371139050	2311530.0000000000"
2016-06-08 11:56:06,"124	ec13	160.0402910709	2312410.0000000000"
2016-06-08 11:56:07,"138	ec13	161.0543949604	2312070.0000000000"
2016-06-08 11:56:08,"123	ec13	162.0385630131	2312210.0000000000"
2016-06-08 11:56:09,"127	ec13	163.0427820683	2311980.0000000000"
2016-06-08 11:56:10,"121	ec13	164.0369780064	2311580.0000000000"
2016-06-08 11:56:11,"126	ec13	165.0420699120	2310900.0000000000"
2016-06-08 11:56:12,"121	ec13	166.0371780396	2312090.0000000000"
2016-06-08 11:56:13,"150	ec13	167.0663220882	2312600.0000000000"
2016-06-08 11:56:14,"134	ec13	168.0495169163	2312290.0000000000"
2016-06-08 11:56:15,"123	ec13	169.0387690067	2312820.0000000000"
2016-06-08 11:56:16,"121	ec13	170.0368390083	2310880.0000000000"
2016-06-08 11:56:17,"122	ec13	171.0380198956	2307740.0000000000"
2016-06-08 11:56:18,"147	ec13	172.0631248951	2310640.0000000000"
2016-06-08 11:56:19,"131	ec13	173.0472948551	2311380.0000000000"
2016-06-08 11:56:20,"126	ec13	174.0415048599	2311420.0000000000"
2016-06-08 11:56:21,"122	ec13	175.0377359390	2310260.0000000000"
2016-06-08 11:56:22,"124	ec13	176.0398519039	2309830.0000000000"
2016-06-08 11:56:23,"121	ec13	177.0370199680	2310950.0000000000"
2016-06-08 11:56:24,"160	ec13	178.0761330128	2311420.0000000000"
2016-06-08 11:56:25,"142	ec13	179.0582900047	2311610.0000000000"
2016-06-08 11:56:26,"125	ec13	180.0404770374	2311050.0000000000"
2016-06-08 11:56:27,"126	ec13	181.0417509079	2311010.0000000000"
2016-06-08 11:56:28,"121	ec13	182.0368158817	2311270.0000000000"
2016-06-08 11:56:29,"125	ec13	183.0409429073	2311140.0000000000"
2016-06-08 11:56:30,"135	ec13	184.0511429310	2310680.0000000000"
2016-06-08 11:56:31,"122	ec13	185.0383739471	2310390.0000000000"
2016-06-08 11:56:32,"128	ec13	186.0434179306	2310100.0000000000"
