time,mass
2016-06-22 10:21:16,"712		0.0399820805	1944000.0000000000"
2016-06-22 10:21:17,"709		1.0373659134	1939080.0000000000"
2016-06-22 10:21:18,"710		2.0386400223	1941620.0000000000"
2016-06-22 10:21:19,"716		3.0438668728	1945460.0000000000"
2016-06-22 10:21:20,"746		4.0739889145	1942370.0000000000"
2016-06-22 10:21:21,"729		5.0571680069	1941080.0000000000"
2016-06-22 10:21:22,"711		6.0393888950	1941790.0000000000"
2016-06-22 10:21:23,"712		7.0406100750	1944400.0000000000"
2016-06-22 10:21:24,"709		8.0368959904	1944450.0000000000"
2016-06-22 10:21:25,"712		9.0400328636	1952410.0000000000"
2016-06-22 10:21:26,"722		10.0502119064	1953370.0000000000"
2016-06-22 10:21:27,"709		11.0374178886	1955240.0000000000"
2016-06-22 10:21:28,"714		12.0425958633	1949340.0000000000"
2016-06-22 10:21:29,"710		13.0378899574	1948260.0000000000"
2016-06-22 10:21:30,"713		14.0410108566	1945920.0000000000"
2016-06-22 10:21:31,"709		15.0372250080	1947430.0000000000"
2016-06-22 10:21:32,"737		16.0653989315	1949600.0000000000"
2016-06-22 10:21:33,"720		17.0485639572	1945750.0000000000"
2016-06-22 10:21:34,"710		18.0387668610	1945950.0000000000"
2016-06-22 10:21:35,"715		19.0429139137	1946380.0000000000"
2016-06-22 10:21:36,"709		20.0371520519	1945120.0000000000"
2016-06-22 10:21:37,"735		21.0632648468	1953480.0000000000"
2016-06-22 10:21:38,"714		22.0425479412	1953300.0000000000"
2016-06-22 10:21:39,"712		23.0407409668	1948220.0000000000"
2016-06-22 10:21:40,"709		24.0369529724	1962500.0000000000"
2016-06-22 10:21:41,"711		25.0390880108	1959830.0000000000"
2016-06-22 10:21:42,"709		26.0372228622	1959130.0000000000"
2016-06-22 10:21:43,"746		27.0743889809	1957230.0000000000"
2016-06-22 10:21:44,"729		28.0576469898	1953290.0000000000"
2016-06-22 10:21:45,"713		29.0408489704	1959180.0000000000"
2016-06-22 10:21:46,"713		30.0409739017	1959670.0000000000"
2016-06-22 10:21:47,"708		31.0361819267	1960590.0000000000"
2016-06-22 10:21:48,"711		32.0394258499	1957670.0000000000"
2016-06-22 10:21:49,"722		33.0506229401	1955150.0000000000"
2016-06-22 10:21:50,"710		34.0379250050	1954250.0000000000"
2016-06-22 10:21:51,"708		35.0362858772	1951980.0000000000"
2016-06-22 10:21:52,"708		36.0364730358	1953130.0000000000"
2016-06-22 10:21:53,"714		37.0418479443	1953330.0000000000"
2016-06-22 10:21:54,"708		38.0361599922	1953760.0000000000"
2016-06-22 10:21:55,"737		39.0653009415	1953120.0000000000"
2016-06-22 10:21:56,"721		40.0487830639	1953580.0000000000"
2016-06-22 10:21:57,"711		41.0390009880	1953760.0000000000"
2016-06-22 10:21:58,"708		42.0362849236	1954000.0000000000"
2016-06-22 10:21:59,"708		43.0365920067	1954240.0000000000"
2016-06-22 10:22:00,"735		44.0629608631	1953530.0000000000"
2016-06-22 10:22:01,"714		45.0421810150	1952850.0000000000"
2016-06-22 10:22:02,"712		46.0403368473	1953330.0000000000"
2016-06-22 10:22:03,"709		47.0375289917	1954210.0000000000"
2016-06-22 10:22:04,"710		48.0387609005	1954380.0000000000"
2016-06-22 10:22:05,"709		49.0370519161	1952690.0000000000"
2016-06-22 10:22:06,"746		50.0742790699	1953220.0000000000"
2016-06-22 10:22:07,"729		51.0577380657	1955420.0000000000"
2016-06-22 10:22:08,"712		52.0399420261	1951720.0000000000"
2016-06-22 10:22:09,"713		53.0411670208	1961940.0000000000"
2016-06-22 10:22:10,"708		54.0365889072	1958520.0000000000"
2016-06-22 10:22:11,"712		55.0399489403	1957940.0000000000"
2016-06-22 10:22:12,"726		56.0544409752	1949710.0000000000"
2016-06-22 10:22:13,"710		57.0378010273	1945250.0000000000"
2016-06-22 10:22:14,"715		58.0431189537	1939210.0000000000"
2016-06-22 10:22:15,"709		59.0375759602	1934320.0000000000"
2016-06-22 10:22:16,"714		60.0420429707	1927780.0000000000"
2016-06-22 10:22:17,"709		61.0373518467	1923550.0000000000"
2016-06-22 10:22:18,"738		62.0666339397	1920100.0000000000"
2016-06-22 10:22:19,"721		63.0489170551	1916350.0000000000"
2016-06-22 10:22:20,"711		64.0390028954	1907600.0000000000"
2016-06-22 10:22:21,"709		65.0372519493	1903010.0000000000"
2016-06-22 10:22:22,"709		66.0373818874	1897320.0000000000"
2016-06-22 10:22:23,"735		67.0636219978	1891850.0000000000"
2016-06-22 10:22:24,"715		68.0428168774	1888510.0000000000"
2016-06-22 10:22:25,"713		69.0410728455	1880420.0000000000"
2016-06-22 10:22:26,"709		70.0372459888	1873210.0000000000"
2016-06-22 10:22:27,"711		71.0393018723	1868130.0000000000"
2016-06-22 10:22:28,"708		72.0365769863	1863920.0000000000"
2016-06-22 10:22:29,"746		73.0747649670	1853240.0000000000"
2016-06-22 10:22:30,"730		74.0580718517	1845710.0000000000"
2016-06-22 10:22:31,"712		75.0403878689	1837370.0000000000"
2016-06-22 10:22:32,"714		76.0418260098	1832360.0000000000"
2016-06-22 10:22:33,"709		77.0371279716	1825470.0000000000"
2016-06-22 10:22:34,"712		78.0405058861	1819950.0000000000"
2016-06-22 10:22:35,"724		79.0518338680	1810730.0000000000"
2016-06-22 10:22:36,"710		80.0382480621	1806470.0000000000"
