time,mass
 2015-10-23 16:39:24,"766	ah12	0.0371339321	4568400.0000000000"
2015-10-23 16:39:25 ,"807	ah12	1.0780820847	4568400.0000000000"
2015-10-23 16:39:26 ,"789	ah12	2.0600080490	4568400.0000000000"
2015-10-23 16:39:27 ,"772	ah12	3.0430819988	4568500.0000000000"
2015-10-23 16:39:28 ,"773	ah12	4.0440299511	4568500.0000000000"
2015-10-23 16:39:29 ,"766	ah12	5.0368900299	4568500.0000000000"
2015-10-23 16:39:30 ,"771	ah12	6.0419988632	4568400.0000000000"
2015-10-23 16:39:31 ,"782	ah12	7.0530040264	4568400.0000000000"
2015-10-23 16:39:32 ,"770	ah12	8.0409979820	4568400.0000000000"
2015-10-23 16:39:33 ,"767	ah12	9.0379409790	4568500.0000000000"
2015-10-23 16:39:34 ,"768	ah12	10.0387520790	4568500.0000000000"
2015-10-23 16:39:35 ,"766	ah12	11.0368058681	4568500.0000000000"
2015-10-23 16:39:36 ,"768	ah12	12.0387668610	4568500.0000000000"
2015-10-23 16:39:37 ,"798	ah12	13.0687830448	4568500.0000000000"
2015-10-23 16:39:38 ,"780	ah12	14.0507860184	4568500.0000000000"
2015-10-23 16:39:39 ,"770	ah12	15.0407509804	4568500.0000000000"
2015-10-23 16:39:40 ,"766	ah12	16.0366680622	4568500.0000000000"
2015-10-23 16:39:41 ,"769	ah12	17.0397610664	4568500.0000000000"
2015-10-23 16:39:42 ,"766	ah12	18.0365960598	4568600.0000000000"
2015-10-23 16:39:43 ,"774	ah12	19.0446710587	4568600.0000000000"
2015-10-23 16:39:44 ,"772	ah12	20.0426859856	4568600.0000000000"
2015-10-23 16:39:45 ,"766	ah12	21.0367169380	4568600.0000000000"
2015-10-23 16:39:46 ,"770	ah12	22.0405828953	4568600.0000000000"
2015-10-23 16:39:47 ,"767	ah12	23.0376448631	4568500.0000000000"
2015-10-23 16:39:48 ,"806	ah12	24.0765550137	4568300.0000000000"
2015-10-23 16:39:49 ,"788	ah12	25.0594398975	4567800.0000000000"
2015-10-23 16:39:50 ,"771	ah12	26.0414738655	4567600.0000000000"
2015-10-23 16:39:51 ,"772	ah12	27.0425820351	4567600.0000000000"
2015-10-23 16:39:52 ,"767	ah12	28.0376548767	4568100.0000000000"
2015-10-23 16:39:53 ,"771	ah12	29.0415558815	4568100.0000000000"
2015-10-23 16:39:54 ,"781	ah12	30.0523860455	4568200.0000000000"
2015-10-23 16:39:55 ,"769	ah12	31.0396840572	4568300.0000000000"
2015-10-23 16:39:56 ,"766	ah12	32.0365400314	4568400.0000000000"
2015-10-23 16:39:57 ,"767	ah12	33.0375990868	4568400.0000000000"
2015-10-23 16:39:58 ,"772	ah12	34.0425329208	4568500.0000000000"
2015-10-23 16:39:59 ,"767	ah12	35.0374879837	4568500.0000000000"
2015-10-23 16:40:00 ,"796	ah12	36.0673589706	4568500.0000000000"
2015-10-23 16:40:01 ,"778	ah12	37.0493979454	4568500.0000000000"
2015-10-23 16:40:02 ,"768	ah12	38.0393769741	4568500.0000000000"
2015-10-23 16:40:03 ,"766	ah12	39.0373179913	4568500.0000000000"
2015-10-23 16:40:04 ,"767	ah12	40.0382668972	4568500.0000000000"
2015-10-23 16:40:05 ,"789	ah12	41.0602679253	4568400.0000000000"
2015-10-23 16:40:06 ,"772	ah12	42.0432410240	4568700.0000000000"
2015-10-23 16:40:07 ,"770	ah12	43.0411958694	4568700.0000000000"
2015-10-23 16:40:08 ,"766	ah12	44.0371649265	4568700.0000000000"
2015-10-23 16:40:09 ,"769	ah12	45.0401549339	4568300.0000000000"
2015-10-23 16:40:10 ,"766	ah12	46.0372178555	4570000.0000000000"
2015-10-23 16:40:11 ,"804	ah12	47.0752229691	4569700.0000000000"
2015-10-23 16:40:12 ,"787	ah12	48.0580830574	4568200.0000000000"
2015-10-23 16:40:13 ,"769	ah12	49.0401349068	4568700.0000000000"
2015-10-23 16:40:14 ,"770	ah12	50.0412769318	4569300.0000000000"
2015-10-23 16:40:15 ,"766	ah12	51.0372920036	4567500.0000000000"
2015-10-23 16:40:16 ,"769	ah12	52.0402948856	4567100.0000000000"
2015-10-23 16:40:17 ,"780	ah12	53.0512959957	4566500.0000000000"
2015-10-23 16:40:18 ,"767	ah12	54.0383710861	4566400.0000000000"
2015-10-23 16:40:19 ,"772	ah12	55.0433499813	4568400.0000000000"
2015-10-23 16:40:20 ,"767	ah12	56.0382950306	4568200.0000000000"
2015-10-23 16:40:21 ,"770	ah12	57.0412740707	4565500.0000000000"
2015-10-23 16:40:22 ,"766	ah12	58.0372600555	4565200.0000000000"
2015-10-23 16:40:23 ,"795	ah12	59.0663239956	4563400.0000000000"
2015-10-23 16:40:24 ,"777	ah12	60.0482740402	4562500.0000000000"
2015-10-23 16:40:25 ,"767	ah12	61.0383219719	4560100.0000000000"
2015-10-23 16:40:26 ,"772	ah12	62.0432958603	4556900.0000000000"
2015-10-23 16:40:27 ,"766	ah12	63.0373470783	4550200.0000000000"
2015-10-23 16:40:28 ,"788	ah12	64.0593209267	4546600.0000000000"
2015-10-23 16:40:29 ,"771	ah12	65.0424180031	4544800.0000000000"
2015-10-23 16:40:30 ,"769	ah12	66.0404009819	4542700.0000000000"
