time,mass
2015-10-23 13:19:50 ,"661	eg06	71.0519139767	5934900.0000000000"
2015-10-23 13:19:51 ,"651	eg06	72.0419220924	5940000.0000000000"
2015-10-23 13:19:52 ,"646	eg06	73.0369510651	5940400.0000000000"
2015-10-23 13:19:53 ,"650	eg06	74.0409240723	5930600.0000000000"
2015-10-23 13:19:54 ,"646	eg06	75.0369291306	5927400.0000000000"
2015-10-23 13:19:55 ,"655	eg06	76.0458571911	5924800.0000000000"
2015-10-23 13:19:56 ,"645	eg06	77.0367131233	5920200.0000000000"
2015-10-23 13:19:57 ,"646	eg06	78.0378220081	5920000.0000000000"
2015-10-23 13:19:58 ,"652	eg06	79.0428681374	5915800.0000000000"
2015-10-23 13:19:59 ,"646	eg06	80.0369021893	5909700.0000000000"
2015-10-23 13:20:00 ,"686	eg06	81.0777740479	5905400.0000000000"
2015-10-23 13:20:01 ,"669	eg06	82.0606980324	5901900.0000000000"
2015-10-23 13:20:02 ,"651	eg06	83.0428180695	5897900.0000000000"
2015-10-23 13:20:03 ,"645	eg06	84.0367870331	5894200.0000000000"
2015-10-23 13:20:04 ,"646	eg06	85.0377650261	5889100.0000000000"
2015-10-23 13:20:05 ,"651	eg06	86.0427670479	5885700.0000000000"
2015-10-23 13:20:06 ,"662	eg06	87.0537400246	5882500.0000000000"
2015-10-23 13:20:07 ,"649	eg06	88.0407400131	5880100.0000000000"
2015-10-23 13:20:08 ,"645	eg06	89.0367441177	5878600.0000000000"
2015-10-23 13:20:09 ,"648	eg06	90.0397171974	5876200.0000000000"
2015-10-23 13:20:10 ,"645	eg06	91.0366029739	5872600.0000000000"
2015-10-23 13:20:11 ,"647	eg06	92.0385041237	5869700.0000000000"
2015-10-23 13:20:12 ,"677	eg06	93.0684180260	5865400.0000000000"
2015-10-23 13:20:13 ,"660	eg06	94.0514240265	5861600.0000000000"
2015-10-23 13:20:14 ,"650	eg06	95.0414471626	5858200.0000000000"
2015-10-23 13:20:15 ,"646	eg06	96.0374531746	5852700.0000000000"
2015-10-23 13:20:16 ,"648	eg06	97.0393500328	5853800.0000000000"
2015-10-23 13:20:17 ,"646	eg06	98.0373730659	5856800.0000000000"
2015-10-23 13:20:18 ,"653	eg06	99.0444090366	5858300.0000000000"
2015-10-23 13:20:19 ,"651	eg06	100.0424270630	5860700.0000000000"
2015-10-23 13:20:20 ,"646	eg06	101.0374300480	5862300.0000000000"
2015-10-23 13:20:21 ,"650	eg06	102.0413990021	5863900.0000000000"
2015-10-23 13:20:22 ,"646	eg06	103.0372641087	5865800.0000000000"
2015-10-23 13:20:23 ,"685	eg06	104.0763289928	5867700.0000000000"
2015-10-23 13:20:24 ,"668	eg06	105.0594041348	5869500.0000000000"
2015-10-23 13:20:25 ,"651	eg06	106.0423471928	5871100.0000000000"
2015-10-23 13:20:26 ,"651	eg06	107.0424070358	5873000.0000000000"
2015-10-23 13:20:27 ,"646	eg06	108.0373530388	5874100.0000000000"
2015-10-23 13:20:28 ,"650	eg06	109.0413880348	5875000.0000000000"
2015-10-23 13:20:29 ,"661	eg06	110.0523490906	5875800.0000000000"
2015-10-23 13:20:30 ,"648	eg06	111.0393769741	5876200.0000000000"
2015-10-23 13:20:31 ,"647	eg06	112.0383760929	5876700.0000000000"
2015-10-23 13:20:32 ,"647	eg06	113.0383231640	5876900.0000000000"
2015-10-23 13:20:33 ,"652	eg06	114.0432679653	5877200.0000000000"
2015-10-23 13:20:34 ,"646	eg06	115.0372979641	5877700.0000000000"
2015-10-23 13:20:35 ,"676	eg06	116.0673480034	5877900.0000000000"
2015-10-23 13:20:36 ,"659	eg06	117.0503489971	5877900.0000000000"
2015-10-23 13:20:37 ,"648	eg06	118.0393230915	5877900.0000000000"
2015-10-23 13:20:38 ,"646	eg06	119.0373389721	5877600.0000000000"
2015-10-23 13:20:39 ,"647	eg06	120.0383350849	5877200.0000000000"
2015-10-23 13:20:40 ,"669	eg06	121.0602040291	5877000.0000000000"
2015-10-23 13:20:41 ,"652	eg06	122.0432250500	5876800.0000000000"
2015-10-23 13:20:42 ,"650	eg06	123.0413241386	5876300.0000000000"
2015-10-23 13:20:43 ,"646	eg06	124.0372531414	5875600.0000000000"
2015-10-23 13:20:44 ,"649	eg06	125.0402250290	5875000.0000000000"
2015-10-23 13:20:45 ,"646	eg06	126.0372869968	5874500.0000000000"
2015-10-23 13:20:46 ,"684	eg06	127.0752639771	5873600.0000000000"
2015-10-23 13:20:47 ,"667	eg06	128.0582761765	5873100.0000000000"
2015-10-23 13:20:48 ,"649	eg06	129.0401401520	5872400.0000000000"
2015-10-23 13:20:49 ,"650	eg06	130.0412800312	5871400.0000000000"
2015-10-23 13:20:50 ,"646	eg06	131.0372540951	5870900.0000000000"
2015-10-23 13:20:51 ,"649	eg06	132.0402719975	5870100.0000000000"
2015-10-23 13:20:52 ,"660	eg06	133.0512661934	5869700.0000000000"
2015-10-23 13:20:53 ,"647	eg06	134.0382330418	5868900.0000000000"
2015-10-23 13:20:54 ,"652	eg06	135.0431351662	5868100.0000000000"
2015-10-23 13:20:55 ,"646	eg06	136.0371541977	5867700.0000000000"
2015-10-23 13:20:56 ,"651	eg06	137.0420801640	5866900.0000000000"
2015-10-23 13:20:57 ,"646	eg06	138.0369691849	5866600.0000000000"
2015-10-23 13:20:58 ,"675	eg06	139.0659561157	5865800.0000000000"
2015-10-23 13:20:59 ,"658	eg06	140.0488681793	5865500.0000000000"
2015-10-23 13:21:00 ,"648	eg06	141.0389511585	5864800.0000000000"
2015-10-23 13:21:01 ,"646	eg06	142.0369009972	5864500.0000000000"
2015-10-23 13:21:02 ,"646	eg06	143.0377709866	5863900.0000000000"
2015-10-23 13:21:03 ,"671	eg06	144.0628211498	5863500.0000000000"
2015-10-23 13:21:04 ,"651	eg06	145.0427861214	5862800.0000000000"
2015-10-23 13:21:05 ,"649	eg06	146.0398499966	5862700.0000000000"
2015-10-23 13:21:06 ,"646	eg06	147.0368530750	5861600.0000000000"
2015-10-23 13:21:07 ,"647	eg06	148.0387940407	5861000.0000000000"
2015-10-23 13:21:08 ,"645	eg06	149.0368251801	5860400.0000000000"
2015-10-23 13:21:09 ,"682	eg06	150.0737471581	5859800.0000000000"
2015-10-23 13:21:10 ,"665	eg06	151.0567221642	5859100.0000000000"
2015-10-23 13:21:11 ,"648	eg06	152.0398240089	5858800.0000000000"
