time,mass
2016-06-15 13:24:19,"439	sn13	77.0399379730	2606130.0000000000"
2016-06-15 13:24:20,"436	sn13	78.0368120670	2601420.0000000000"
2016-06-15 13:24:21,"455	sn13	79.0556540489	2597390.0000000000"
2016-06-15 13:24:22,"442	sn13	80.0425610542	2592790.0000000000"
2016-06-15 13:24:23,"437	sn13	81.0375051498	2590150.0000000000"
2016-06-15 13:24:24,"441	sn13	82.0414049625	2587120.0000000000"
2016-06-15 13:24:25,"437	sn13	83.0373859406	2584760.0000000000"
2016-06-15 13:24:26,"440	sn13	84.0413169861	2582620.0000000000"
2016-06-15 13:24:27,"470	sn13	85.0711131096	2580570.0000000000"
2016-06-15 13:24:28,"453	sn13	86.0540161133	2578510.0000000000"
2016-06-15 13:24:29,"437	sn13	87.0379660130	2577520.0000000000"
2016-06-15 13:24:30,"436	sn13	88.0369620323	2575840.0000000000"
2016-06-15 13:24:31,"441	sn13	89.0418250561	2574780.0000000000"
2016-06-15 13:24:32,"437	sn13	90.0377089977	2573680.0000000000"
2016-06-15 13:24:33,"447	sn13	91.0475139618	2573540.0000000000"
2016-06-15 13:24:34,"437	sn13	92.0374119282	2571200.0000000000"
2016-06-15 13:24:35,"438	sn13	93.0393710136	2570350.0000000000"
2016-06-15 13:24:36,"436	sn13	94.0372860432	2568430.0000000000"
2016-06-15 13:24:37,"437	sn13	95.0381669998	2566470.0000000000"
2016-06-15 13:24:38,"479	sn13	96.0799961090	2565080.0000000000"
2016-06-15 13:24:39,"461	sn13	97.0618729591	2563750.0000000000"
2016-06-15 13:24:40,"444	sn13	98.0448369980	2562920.0000000000"
2016-06-15 13:24:41,"437	sn13	99.0377571583	2561810.0000000000"
2016-06-15 13:24:42,"439	sn13	100.0396630764	2560640.0000000000"
2016-06-15 13:24:43,"437	sn13	101.0376069546	2559120.0000000000"
2016-06-15 13:24:44,"456	sn13	102.0564210415	2558160.0000000000"
2016-06-15 13:24:45,"443	sn13	103.0435309410	2556500.0000000000"
2016-06-15 13:24:46,"437	sn13	104.0375380516	2555210.0000000000"
2016-06-15 13:24:47,"441	sn13	105.0415761471	2553500.0000000000"
2016-06-15 13:24:48,"437	sn13	106.0373899937	2551890.0000000000"
2016-06-15 13:24:49,"440	sn13	107.0412521362	2550160.0000000000"
2016-06-15 13:24:50,"470	sn13	108.0709819794	2548790.0000000000"
2016-06-15 13:24:51,"453	sn13	109.0539929867	2547070.0000000000"
2016-06-15 13:24:52,"436	sn13	110.0369391441	2544980.0000000000"
