time,mass
2016-06-29 10:15:16,"471	bi11	0.0418090820	1965750.0000000000"
2016-06-29 10:15:17,"501	bi11	1.0716381073	1965600.0000000000"
2016-06-29 10:15:18,"484	bi11	2.0545349121	1965970.0000000000"
2016-06-29 10:15:19,"467	bi11	3.0375120640	1966120.0000000000"
2016-06-29 10:15:20,"468	bi11	4.0384120941	1966120.0000000000"
2016-06-29 10:15:21,"473	bi11	5.0433249474	1965880.0000000000"
2016-06-29 10:15:22,"468	bi11	6.0382080078	1965740.0000000000"
2016-06-29 10:15:23,"481	bi11	7.0520629883	1965830.0000000000"
2016-06-29 10:15:24,"466	bi11	8.0369880199	1965730.0000000000"
2016-06-29 10:15:25,"470	bi11	9.0408461094	1965810.0000000000"
2016-06-29 10:15:26,"466	bi11	10.0367569923	1966140.0000000000"
2016-06-29 10:15:27,"469	bi11	11.0396649837	1966630.0000000000"
2016-06-29 10:15:28,"466	bi11	12.0366089344	1966440.0000000000"
2016-06-29 10:15:29,"493	bi11	13.0634438992	1966500.0000000000"
2016-06-29 10:15:30,"476	bi11	14.0463430882	1966090.0000000000"
2016-06-29 10:15:31,"467	bi11	15.0371999741	1965590.0000000000"
2016-06-29 10:15:32,"471	bi11	16.0412089825	1966670.0000000000"
2016-06-29 10:15:33,"467	bi11	17.0380089283	1965840.0000000000"
2016-06-29 10:15:34,"487	bi11	18.0578351021	1965820.0000000000"
2016-06-29 10:15:35,"474	bi11	19.0447390079	1965780.0000000000"
2016-06-29 10:15:36,"468	bi11	20.0386700630	1965900.0000000000"
2016-06-29 10:15:37,"467	bi11	21.0374970436	1966220.0000000000"
2016-06-29 10:15:38,"467	bi11	22.0373659134	1966090.0000000000"
2016-06-29 10:15:39,"472	bi11	23.0423099995	1966100.0000000000"
2016-06-29 10:15:40,"502	bi11	24.0721940994	1966130.0000000000"
2016-06-29 10:15:41,"485	bi11	25.0559179783	1965950.0000000000"
2016-06-29 10:15:42,"467	bi11	26.0379929543	1966540.0000000000"
2016-06-29 10:15:43,"468	bi11	27.0389149189	1966790.0000000000"
2016-06-29 10:15:44,"466	bi11	28.0368709564	1966910.0000000000"
2016-06-29 10:15:45,"467	bi11	29.0376899242	1963830.0000000000"
2016-06-29 10:15:46,"479	bi11	30.0495939255	1964750.0000000000"
2016-06-29 10:15:47,"467	bi11	31.0374560356	1965610.0000000000"
2016-06-29 10:15:48,"471	bi11	32.0413279533	1964510.0000000000"
2016-06-29 10:15:49,"467	bi11	33.0372600555	1966040.0000000000"
2016-06-29 10:15:50,"468	bi11	34.0391590595	1965090.0000000000"
2016-06-29 10:15:51,"467	bi11	35.0380709171	1964910.0000000000"
2016-06-29 10:15:52,"493	bi11	36.0639739037	1965470.0000000000"
2016-06-29 10:15:53,"476	bi11	37.0469620228	1966090.0000000000"
2016-06-29 10:15:54,"466	bi11	38.0368859768	1966680.0000000000"
2016-06-29 10:15:55,"471	bi11	39.0418889523	1967630.0000000000"
2016-06-29 10:15:56,"466	bi11	40.0368371010	1966520.0000000000"
2016-06-29 10:15:57,"491	bi11	41.0617179871	1965470.0000000000"
2016-06-29 10:15:58,"470	bi11	42.0406188965	1964930.0000000000"
2016-06-29 10:15:59,"468	bi11	43.0385210514	1964910.0000000000"
2016-06-29 10:16:00,"473	bi11	44.0434570312	1964610.0000000000"
2016-06-29 10:16:01,"467	bi11	45.0373909473	1965540.0000000000"
2016-06-29 10:16:02,"473	bi11	46.0433080196	1965950.0000000000"
2016-06-29 10:16:03,"503	bi11	47.0731868744	1965390.0000000000"
2016-06-29 10:16:04,"485	bi11	48.0551800728	1965030.0000000000"
2016-06-29 10:16:05,"468	bi11	49.0390069485	1965220.0000000000"
2016-06-29 10:16:06,"468	bi11	50.0389540195	1964960.0000000000"
2016-06-29 10:16:07,"466	bi11	51.0368371010	1964700.0000000000"
