time,mass
2016-06-15 13:06:33,"975	sn19	0.0400698185	2264130.0000000000"
2016-06-15 13:06:34,"990	sn19	1.0549809933	2263660.0000000000"
2016-06-15 13:06:35,"973	sn19	2.0378458500	2263770.0000000000"
2016-06-15 13:06:36,"977	sn19	3.0427248478	2263770.0000000000"
2016-06-15 13:06:37,"971	sn19	4.0367050171	2263720.0000000000"
2016-06-15 13:06:38,"976	sn19	5.0416460037	2263610.0000000000"
2016-06-15 13:06:39,"972	sn19	6.0375478268	2263800.0000000000"
2016-06-15 13:06:41,"001	sn19	7.0663168430	2264490.0000000000"
2016-06-15 13:06:41,"983	sn19	8.0481410027	2264370.0000000000"
2016-06-15 13:06:42,"973	sn19	9.0380568504	2264660.0000000000"
2016-06-15 13:06:43,"978	sn19	10.0431380272	2264230.0000000000"
2016-06-15 13:06:44,"972	sn19	11.0370478630	2264230.0000000000"
2016-06-15 13:06:45,"998	sn19	12.0629348755	2263680.0000000000"
2016-06-15 13:06:46,"981	sn19	13.0467078686	2263670.0000000000"
2016-06-15 13:06:47,"975	sn19	14.0406529903	2263590.0000000000"
2016-06-15 13:06:48,"973	sn19	15.0386300087	2263830.0000000000"
2016-06-15 13:06:49,"974	sn19	16.0395309925	2263260.0000000000"
2016-06-15 13:06:50,"979	sn19	17.0444228649	2263190.0000000000"
2016-06-15 13:06:52,"009	sn19	18.0742039680	2263930.0000000000"
2016-06-15 13:06:52,"992	sn19	19.0571308136	2263720.0000000000"
2016-06-15 13:06:53,"975	sn19	20.0399229527	2263840.0000000000"
2016-06-15 13:06:54,"976	sn19	21.0408480167	2263980.0000000000"
2016-06-15 13:06:55,"971	sn19	22.0367739201	2264310.0000000000"
2016-06-15 13:06:56,"975	sn19	23.0406339169	2265000.0000000000"
2016-06-15 13:06:57,"986	sn19	24.0515499115	2263580.0000000000"
2016-06-15 13:06:58,"973	sn19	25.0385258198	2263630.0000000000"
2016-06-15 13:06:59,"978	sn19	26.0433988571	2263280.0000000000"
2016-06-15 13:07:00,"972	sn19	27.0373508930	2262510.0000000000"
2016-06-15 13:07:01,"976	sn19	28.0413308144	2263660.0000000000"
2016-06-15 13:07:02,"973	sn19	29.0382828712	2263650.0000000000"
2016-06-15 13:07:04,"001	sn19	30.0662248135	2264250.0000000000"
2016-06-15 13:07:04,"984	sn19	31.0491738319	2265730.0000000000"
2016-06-15 13:07:05,"974	sn19	32.0391359329	2265220.0000000000"
2016-06-15 13:07:06,"972	sn19	33.0370259285	2265350.0000000000"
2016-06-15 13:07:07,"972	sn19	34.0368728638	2263730.0000000000"
2016-06-15 13:07:08,"998	sn19	35.0638008118	2263360.0000000000"
2016-06-15 13:07:09,"977	sn19	36.0427298546	2263330.0000000000"
2016-06-15 13:07:10,"975	sn19	37.0406908989	2263680.0000000000"
2016-06-15 13:07:11,"971	sn19	38.0365519524	2263680.0000000000"
2016-06-15 13:07:12,"974	sn19	39.0394499302	2264170.0000000000"
2016-06-15 13:07:13,"972	sn19	40.0374248028	2264280.0000000000"
2016-06-15 13:07:15,"010	sn19	41.0753269196	2264160.0000000000"
2016-06-15 13:07:15,"993	sn19	42.0582728386	2263300.0000000000"
2016-06-15 13:07:16,"976	sn19	43.0411648750	2263590.0000000000"
2016-06-15 13:07:17,"977	sn19	44.0419459343	2263630.0000000000"
2016-06-15 13:07:18,"972	sn19	45.0368778706	2263360.0000000000"
2016-06-15 13:07:19,"975	sn19	46.0407958031	2263210.0000000000"
2016-06-15 13:07:20,"990	sn19	47.0556750298	2262950.0000000000"
2016-06-15 13:07:21,"973	sn19	48.0386250019	2262870.0000000000"
2016-06-15 13:07:22,"971	sn19	49.0364789963	2262650.0000000000"
2016-06-15 13:07:23,"972	sn19	50.0374009609	2262230.0000000000"
2016-06-15 13:07:24,"977	sn19	51.0423548222	2262750.0000000000"
2016-06-15 13:07:25,"972	sn19	52.0372529030	2264110.0000000000"
2016-06-15 13:07:27,"001	sn19	53.0661609173	2263080.0000000000"
2016-06-15 13:07:27,"984	sn19	54.0490789413	2262920.0000000000"
2016-06-15 13:07:28,"974	sn19	55.0390028954	2263410.0000000000"
2016-06-15 13:07:29,"972	sn19	56.0369029045	2263640.0000000000"
2016-06-15 13:07:30,"973	sn19	57.0378599167	2263140.0000000000"
2016-06-15 13:07:31,"998	sn19	58.0637509823	2260420.0000000000"
2016-06-15 13:07:32,"981	sn19	59.0467560291	2259250.0000000000"
2016-06-15 13:07:33,"976	sn19	60.0416309834	2259850.0000000000"
2016-06-15 13:07:34,"972	sn19	61.0375277996	2260330.0000000000"
2016-06-15 13:07:35,"974	sn19	62.0394279957	2258630.0000000000"
2016-06-15 13:07:36,"973	sn19	63.0384109020	2257270.0000000000"
2016-06-15 13:07:38,"010	sn19	64.0752179623	2255150.0000000000"
2016-06-15 13:07:38,"993	sn19	65.0582280159	2253650.0000000000"
2016-06-15 13:07:39,"977	sn19	66.0421159267	2251290.0000000000"
2016-06-15 13:07:40,"977	sn19	67.0422008038	2250520.0000000000"
2016-06-15 13:07:41,"972	sn19	68.0370399952	2250000.0000000000"
2016-06-15 13:07:42,"976	sn19	69.0409679413	2249530.0000000000"
2016-06-15 13:07:43,"987	sn19	70.0518770218	2248310.0000000000"
2016-06-15 13:07:44,"974	sn19	71.0388119221	2248110.0000000000"
2016-06-15 13:07:45,"971	sn19	72.0367259979	2246210.0000000000"
2016-06-15 13:07:46,"972	sn19	73.0376260281	2245760.0000000000"
2016-06-15 13:07:47,"977	sn19	74.0425410271	2245270.0000000000"
2016-06-15 13:07:48,"972	sn19	75.0374538898	2244930.0000000000"
2016-06-15 13:07:50,"001	sn19	76.0661978722	2245400.0000000000"
2016-06-15 13:07:50,"985	sn19	77.0502328873	2245100.0000000000"
2016-06-15 13:07:51,"974	sn19	78.0391788483	2245080.0000000000"
2016-06-15 13:07:52,"972	sn19	79.0370559692	2244680.0000000000"
2016-06-15 13:07:53,"973	sn19	80.0379378796	2244380.0000000000"
2016-06-15 13:07:55,"000	sn19	81.0648138523	2245240.0000000000"
