time,mass
2016-06-22 15:50:02,"090	as11	0.0368969440	2336960.0000000000"
2016-06-22 15:50:03,"092	as11	1.0391869545	2337070.0000000000"
2016-06-22 15:50:04,"090	as11	2.0374989510	2337070.0000000000"
2016-06-22 15:50:05,"098	as11	3.0446820259	2337090.0000000000"
2016-06-22 15:50:06,"096	as11	4.0430080891	2337020.0000000000"
2016-06-22 15:50:07,"090	as11	5.0371580124	2337020.0000000000"
2016-06-22 15:50:08,"094	as11	6.0414109230	2337200.0000000000"
2016-06-22 15:50:09,"091	as11	7.0378918648	2337240.0000000000"
2016-06-22 15:50:10,"131	as11	8.0781149864	2337410.0000000000"
2016-06-22 15:50:11,"112	as11	9.0594458580	2337440.0000000000"
2016-06-22 15:50:12,"097	as11	10.0437610149	2337490.0000000000"
2016-06-22 15:50:13,"090	as11	11.0370409489	2337610.0000000000"
2016-06-22 15:50:14,"090	as11	12.0372400284	2335070.0000000000"
2016-06-22 15:50:15,"095	as11	13.0425958633	2336470.0000000000"
2016-06-22 15:50:16,"107	as11	14.0538620949	2338030.0000000000"
2016-06-22 15:50:17,"094	as11	15.0409910679	2338440.0000000000"
2016-06-22 15:50:18,"090	as11	16.0373110771	2338080.0000000000"
2016-06-22 15:50:19,"093	as11	17.0405740738	2337880.0000000000"
2016-06-22 15:50:20,"091	as11	18.0378949642	2337660.0000000000"
2016-06-22 15:50:21,"092	as11	19.0390920639	2337380.0000000000"
2016-06-22 15:50:22,"122	as11	20.0692510605	2337290.0000000000"
2016-06-22 15:50:23,"105	as11	21.0517370701	2337270.0000000000"
2016-06-22 15:50:24,"095	as11	22.0419509411	2337440.0000000000"
2016-06-22 15:50:25,"090	as11	23.0372920036	2337440.0000000000"
2016-06-22 15:50:26,"093	as11	24.0406298637	2337360.0000000000"
2016-06-22 15:50:27,"091	as11	25.0379209518	2337350.0000000000"
2016-06-22 15:50:28,"098	as11	26.0451409817	2337460.0000000000"
2016-06-22 15:50:29,"096	as11	27.0434708595	2337380.0000000000"
2016-06-22 15:50:30,"091	as11	28.0377800465	2337530.0000000000"
2016-06-22 15:50:31,"095	as11	29.0419650078	2337440.0000000000"
2016-06-22 15:50:32,"089	as11	30.0362939835	2337380.0000000000"
