Enter a label: 2016-07-20 12:13:40,823	as33	0.0425100327	2307830.0000000000
2016-07-20 12:13:41,853	as33	1.0728459358	2307900.0000000000
2016-07-20 12:13:42,835	as33	2.0551381111	2307320.0000000000
2016-07-20 12:13:43,819	as33	3.0384941101	2306740.0000000000
2016-07-20 12:13:44,819	as33	4.0387051105	2306430.0000000000
2016-07-20 12:13:45,817	as33	5.0370750427	2305820.0000000000
2016-07-20 12:13:46,819	as33	6.0383169651	2304800.0000000000
2016-07-20 12:13:47,829	as33	7.0486369133	2304920.0000000000
2016-07-20 12:13:48,817	as33	8.0369479656	2305010.0000000000
2016-07-20 12:13:49,822	as33	9.0412719250	2304790.0000000000
2016-07-20 12:13:50,818	as33	10.0375499725	2303700.0000000000
2016-07-20 12:13:51,820	as33	11.0400099754	2303590.0000000000
2016-07-20 12:13:52,818	as33	12.0373170376	2303370.0000000000
2016-07-20 12:13:53,844	as33	13.0637021065	2303870.0000000000
2016-07-20 12:13:54,827	as33	14.0469601154	2303990.0000000000
2016-07-20 12:13:55,818	as33	15.0374128819	2303300.0000000000
2016-07-20 12:13:56,822	as33	16.0417370796	2303670.0000000000
2016-07-20 12:13:57,817	as33	17.0370121002	2303700.0000000000
2016-07-20 12:13:58,839	as33	18.0583589077	2303250.0000000000
2016-07-20 12:13:59,821	as33	19.0406539440	2302790.0000000000
2016-07-20 12:14:00,819	as33	20.0390551090	2302530.0000000000
2016-07-20 12:14:01,818	as33	21.0372920036	2302320.0000000000
2016-07-20 12:14:02,818	as33	22.0375530720	2302110.0000000000
2016-07-20 12:14:03,823	as33	23.0428569317	2302240.0000000000
2016-07-20 12:14:04,853	as33	24.0731499195	2302500.0000000000
2016-07-20 12:14:05,836	as33	25.0553169250	2302550.0000000000
2016-07-20 12:14:06,819	as33	26.0387339592	2302450.0000000000
2016-07-20 12:14:07,819	as33	27.0391879082	2302460.0000000000
2016-07-20 12:14:08,818	as33	28.0375170708	2302440.0000000000
2016-07-20 12:14:09,819	as33	29.0388269424	2302260.0000000000
2016-07-20 12:14:10,829	as33	30.0490989685	2302060.0000000000
2016-07-20 12:14:11,818	as33	31.0374250412	2301900.0000000000
2016-07-20 12:14:12,822	as33	32.0417439938	2301750.0000000000
2016-07-20 12:14:13,817	as33	33.0370259285	2301640.0000000000
2016-07-20 12:14:14,821	as33	34.0403430462	2301530.0000000000
2016-07-20 12:14:15,818	as33	35.0376219749	2301040.0000000000
2016-07-20 12:14:16,844	as33	36.0640110970	2300780.0000000000
2016-07-20 12:14:17,828	as33	37.0472280979	2300780.0000000000
2016-07-20 12:14:18,818	as33	38.0375471115	2300870.0000000000
2016-07-20 12:14:19,822	as33	39.0417699814	2301200.0000000000
2016-07-20 12:14:20,817	as33	40.0371749401	2301100.0000000000
2016-07-20 12:14:21,839	as33	41.0583770275	2300790.0000000000
2016-07-20 12:14:22,821	as33	42.0407879353	2300730.0000000000
2016-07-20 12:14:23,819	as33	43.0390050411	2300370.0000000000
2016-07-20 12:14:24,818	as33	44.0373239517	2300390.0000000000
2016-07-20 12:14:25,818	as33	45.0376129150	2300460.0000000000
2016-07-20 12:14:26,823	as33	46.0431180000	2300100.0000000000
2016-07-20 12:14:27,854	as33	47.0733718872	2299930.0000000000
2016-07-20 12:14:28,836	as33	48.0557670593	2299920.0000000000
2016-07-20 12:14:29,819	as33	49.0390319824	2299800.0000000000
2016-07-20 12:14:30,819	as33	50.0392279625	2299660.0000000000
2016-07-20 12:14:31,818	as33	51.0376570225	2299570.0000000000
2016-07-20 12:14:32,819	as33	52.0389680862	2305470.0000000000
2016-07-20 12:14:33,831	as33	53.0502700806	2309950.0000000000
2016-07-20 12:14:34,818	as33	54.0374729633	2301860.0000000000
2016-07-20 12:14:35,822	as33	55.0418989658	2299530.0000000000
2016-07-20 12:14:36,817	as33	56.0371460915	2300720.0000000000
2016-07-20 12:14:37,821	as33	57.0404119492	2301370.0000000000
2016-07-20 12:14:38,818	as33	58.0377209187	2307770.0000000000
2016-07-20 12:14:39,845	as33	59.0650029182	2298640.0000000000
2016-07-20 12:14:40,828	as33	60.0472810268	2296280.0000000000
2016-07-20 12:14:41,818	as33	61.0377500057	2295900.0000000000
2016-07-20 12:14:42,822	as33	62.0420339108	2294690.0000000000
2016-07-20 12:14:43,818	as33	63.0372951031	2294260.0000000000
2016-07-20 12:14:44,843	as33	64.0624709129	2293800.0000000000
2016-07-20 12:14:45,825	as33	65.0446720123	2289520.0000000000
2016-07-20 12:14:46,819	as33	66.0389640331	2287270.0000000000
2016-07-20 12:14:47,818	as33	67.0375039577	2288130.0000000000
2016-07-20 12:14:48,818	as33	68.0376510620	2288640.0000000000
2016-07-20 12:14:49,823	as33	69.0431199074	2289680.0000000000
2016-07-20 12:14:50,854	as33	70.0734350681	2289860.0000000000
2016-07-20 12:14:51,837	as33	71.0568039417	2288790.0000000000
2016-07-20 12:14:52,819	as33	72.0390141010	2290890.0000000000
2016-07-20 12:14:53,821	as33	73.0404660702	2292430.0000000000
2016-07-20 12:14:54,818	as33	74.0376079082	2292270.0000000000
2016-07-20 12:14:55,819	as33	75.0390419960	2291800.0000000000
2016-07-20 12:14:56,831	as33	76.0502860546	2293440.0000000000
2016-07-20 12:14:57,818	as33	77.0376811028	2294310.0000000000
2016-07-20 12:14:58,822	as33	78.0421049595	2295390.0000000000
2016-07-20 12:14:59,818	as33	79.0374600887	2297600.0000000000
2016-07-20 12:15:00,821	as33	80.0405941010	2299690.0000000000
2016-07-20 12:15:01,818	as33	81.0381240845	2300910.0000000000
