time,mass
2016-06-22 11:41:22,"394	bi04	0.0610001087	2044250.0000000000"
2016-06-22 11:41:23,"376	bi04	1.0432851315	2043470.0000000000"
2016-06-22 11:41:24,"371	bi04	2.0385329723	2043260.0000000000"
2016-06-22 11:41:25,"376	bi04	3.0427019596	2043270.0000000000"
2016-06-22 11:41:26,"370	bi04	4.0369601250	2043600.0000000000"
2016-06-22 11:41:27,"375	bi04	5.0421621799	2044040.0000000000"
2016-06-22 11:41:28,"405	bi04	6.0724129677	2044320.0000000000"
2016-06-22 11:41:29,"388	bi04	7.0555701256	2044780.0000000000"
2016-06-22 11:41:30,"371	bi04	8.0378789902	2044540.0000000000"
2016-06-22 11:41:31,"372	bi04	9.0391650200	2042270.0000000000"
2016-06-22 11:41:32,"376	bi04	10.0434131622	2042430.0000000000"
2016-06-22 11:41:33,"370	bi04	11.0376260281	2042220.0000000000"
2016-06-22 11:41:34,"382	bi04	12.0488820076	2041500.0000000000"
2016-06-22 11:41:35,"370	bi04	13.0371849537	2041740.0000000000"
2016-06-22 11:41:36,"373	bi04	14.0404140949	2041100.0000000000"
2016-06-22 11:41:37,"370	bi04	15.0376219749	2042570.0000000000"
2016-06-22 11:41:38,"373	bi04	16.0399110317	2042000.0000000000"
2016-06-22 11:41:39,"370	bi04	17.0372381210	2041720.0000000000"
2016-06-22 11:41:40,"396	bi04	18.0634481907	2042240.0000000000"
2016-06-22 11:41:41,"381	bi04	19.0477340221	2042350.0000000000"
2016-06-22 11:41:42,"370	bi04	20.0369381905	2042750.0000000000"
2016-06-22 11:41:43,"374	bi04	21.0412120819	2043600.0000000000"
2016-06-22 11:41:44,"370	bi04	22.0375311375	2043950.0000000000"
2016-06-22 11:41:45,"391	bi04	23.0576989651	2043780.0000000000"
2016-06-22 11:41:46,"374	bi04	24.0410251617	2043620.0000000000"
2016-06-22 11:41:47,"371	bi04	25.0383000374	2043310.0000000000"
2016-06-22 11:41:48,"376	bi04	26.0435581207	2041850.0000000000"
2016-06-22 11:41:49,"371	bi04	27.0377781391	2040900.0000000000"
2016-06-22 11:41:50,"376	bi04	28.0429880619	2041100.0000000000"
2016-06-22 11:41:51,"406	bi04	29.0732131004	2041690.0000000000"
2016-06-22 11:41:52,"388	bi04	30.0554120541	2042280.0000000000"
2016-06-22 11:41:53,"371	bi04	31.0385451317	2042380.0000000000"
2016-06-22 11:41:54,"372	bi04	32.0389261246	2042870.0000000000"
2016-06-22 11:41:55,"370	bi04	33.0371410847	2042650.0000000000"
2016-06-22 11:41:56,"371	bi04	34.0384130478	2042910.0000000000"
2016-06-22 11:41:57,"382	bi04	35.0496070385	2042820.0000000000"
